14/07/01-10:56:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.852/262.518/275.523/11.401 ms
14/07/01-10:57:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 265.591/271.407/275.151/4.528 ms
14/07/01-10:59:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 265.168/267.843/274.789/3.605 ms
14/07/01-11:01:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 255.989/265.024/276.049/8.895 ms
14/07/01-11:02:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.236/262.988/274.928/9.717 ms
14/07/01-11:04:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.488/264.652/275.122/9.180 ms
14/07/01-11:05:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.891/262.229/275.537/10.922 ms
14/07/01-11:07:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 247.923/262.695/275.251/10.785 ms
14/07/01-11:09:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.126/269.462/275.152/7.223 ms
14/07/01-11:10:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 255.762/264.559/275.011/7.622 ms
14/07/01-11:12:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 252.722/261.586/275.021/8.092 ms
14/07/01-11:14:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 245.511/264.405/275.201/13.222 ms
14/07/01-11:15:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.001/266.466/275.247/5.953 ms
14/07/01-11:17:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.637/263.860/274.860/10.557 ms
14/07/01-11:19:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 257.290/264.921/274.833/6.183 ms
14/07/01-11:20:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.757/266.189/275.198/7.393 ms
14/07/01-11:22:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 251.227/259.327/274.811/9.914 ms
14/07/01-11:23:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.773/263.341/267.727/4.016 ms
14/07/01-11:25:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 257.246/268.395/275.342/8.342 ms
14/07/01-11:27:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 266.427/271.669/275.380/4.173 ms
14/07/01-11:28:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.974/266.706/275.048/5.887 ms
14/07/01-11:30:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.108/267.694/275.135/7.096 ms
14/07/01-11:32:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.506/269.825/275.433/4.401 ms
14/07/01-11:33:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.811/269.835/275.032/4.278 ms
14/07/01-11:35:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.045/262.987/277.068/11.136 ms
14/07/01-11:36:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 259.269/266.701/275.232/5.102 ms
14/07/01-11:38:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 251.784/263.463/275.462/9.966 ms
14/07/01-11:40:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 243.032/260.961/275.366/14.646 ms
14/07/01-11:41:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 257.283/268.080/276.111/8.784 ms
14/07/01-11:43:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 251.393/261.533/267.065/6.349 ms
14/07/01-11:45:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.632/259.382/275.323/9.787 ms
14/07/01-11:46:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.628/258.177/275.125/12.122 ms
