14/07/01-10:56:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.057/171.145/171.249/0.069 ms
14/07/01-10:58:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.135/171.233/171.384/0.277 ms
14/07/01-10:59:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.085/171.157/171.256/0.376 ms
14/07/01-11:01:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.044/171.080/171.126/0.524 ms
14/07/01-11:03:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.019/171.074/171.195/0.375 ms
14/07/01-11:04:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.159/171.206/171.273/0.455 ms
14/07/01-11:06:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 170.995/171.054/171.099/0.034 ms
14/07/01-11:07:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.101/171.128/171.150/0.018 ms
14/07/01-11:09:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.035/171.090/171.161/0.266 ms
14/07/01-11:11:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.077/171.521/173.180/0.908 ms
14/07/01-11:12:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.050/171.887/175.074/1.677 ms
14/07/01-11:14:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.088/171.142/171.205/0.372 ms
14/07/01-11:16:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.040/172.329/177.240/2.455 ms
14/07/01-11:17:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 171.146/171.215/171.298/0.456 ms
14/07/01-11:19:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.057/171.227/171.786/0.593 ms
14/07/01-11:21:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.043/171.078/171.140/0.454 ms
14/07/01-11:22:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 170.987/171.042/171.099/0.264 ms
14/07/01-11:24:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.051/171.102/171.145/0.524 ms
14/07/01-11:25:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.069/171.201/171.388/0.108 ms
14/07/01-11:27:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.044/171.107/171.154/0.524 ms
14/07/01-11:29:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.037/171.499/173.017/0.846 ms
14/07/01-11:30:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.056/171.534/173.222/0.885 ms
14/07/01-11:32:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 170.890/171.641/173.944/1.268 ms
14/07/01-11:34:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.091/171.185/171.388/0.465 ms
14/07/01-11:35:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.025/171.332/172.267/0.652 ms
14/07/01-11:37:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.032/171.908/172.732/0.695 ms
14/07/01-11:38:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.020/171.126/171.227/0.071 ms
14/07/01-11:40:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.014/171.106/171.211/0.270 ms
14/07/01-11:42:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 170.975/171.397/172.515/0.622 ms
14/07/01-11:43:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.284/171.806/172.327/0.488 ms
14/07/01-11:45:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.048/171.139/171.266/0.528 ms
14/07/01-11:47:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 170.995/172.480/174.992/1.774 ms
14/07/01-11:48:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.038/171.130/171.185/0.266 ms
14/07/01-11:50:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.073/171.106/171.183/0.372 ms
14/07/01-11:52:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 170.979/171.817/174.390/1.369 ms
14/07/01-11:53:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.129/171.167/171.299/0.527 ms
14/07/01-11:55:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.036/171.080/171.144/0.455 ms
14/07/01-11:56:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.065/171.138/171.270/0.529 ms
14/07/01-11:58:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.095/171.192/171.384/0.533 ms
14/07/01-12:00:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.042/171.271/171.984/0.443 ms
14/07/01-12:02:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.093/171.230/171.734/0.447 ms
14/07/01-12:03:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.041/171.571/173.323/0.989 ms
14/07/01-12:05:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.018/171.059/171.107/0.454 ms
14/07/01-12:07:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.081/171.312/172.023/0.634 ms
14/07/01-12:09:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.066/171.119/171.204/0.051 ms
14/07/01-12:11:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 170.931/171.521/171.916/0.501 ms
14/07/01-12:12:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.043/171.442/172.897/0.817 ms
14/07/01-12:14:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.086/171.149/171.184/0.454 ms
14/07/01-12:16:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.063/171.109/171.152/0.454 ms
14/07/01-12:18:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.055/171.089/171.148/0.263 ms
14/07/01-12:19:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.018/171.100/171.146/0.455 ms
14/07/01-12:21:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 171.067/171.721/173.898/1.209 ms
14/07/01-12:23:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 170.998/171.061/171.139/0.456 ms
14/07/01-12:25:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.064/171.093/171.150/0.524 ms
14/07/01-12:27:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.049/171.138/171.271/0.459 ms
14/07/01-12:28:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.025/171.181/171.384/0.470 ms
14/07/01-12:30:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 171.050/171.506/172.249/0.712 ms
14/07/01-12:32:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 170.997/171.295/172.322/0.685 ms
14/07/01-12:34:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.051/171.103/171.164/0.524 ms
14/07/01-12:36:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.075/171.127/171.185/0.265 ms
14/07/01-12:37:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.064/171.146/171.315/0.380 ms
14/07/01-12:39:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.056/171.122/171.224/0.268 ms
14/07/01-12:41:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.111/171.880/173.029/1.058 ms
14/07/01-12:43:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.085/171.156/171.309/0.273 ms
14/07/01-12:45:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 171.733/173.437/177.009/1.933 ms
14/07/01-12:46:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 170.925/171.715/173.477/1.073 ms
14/07/01-12:48:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.058/171.129/171.178/0.264 ms
14/07/01-12:50:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.043/171.185/171.316/0.531 ms
