14/07/01-10:55:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 155.027/155.065/155.108/0.353 ms
14/07/01-10:57:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 154.877/154.983/155.106/0.077 ms
14/07/01-10:59:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 155.013/155.143/155.519/0.399 ms
14/07/01-11:00:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 154.850/154.967/155.074/0.073 ms
14/07/01-11:02:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.990/155.051/155.096/0.433 ms
14/07/01-11:04:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 155.000/155.058/155.097/0.252 ms
14/07/01-11:05:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 154.841/155.199/155.974/0.586 ms
14/07/01-11:07:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 155.045/155.067/155.098/0.352 ms
14/07/01-11:08:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.965/155.100/155.333/0.516 ms
14/07/01-11:10:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 155.012/155.460/157.120/0.867 ms
14/07/01-11:12:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 154.920/155.210/155.895/0.348 ms
14/07/01-11:13:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 155.013/155.098/155.333/0.512 ms
14/07/01-11:15:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.860/155.052/155.173/0.367 ms
14/07/01-11:17:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 154.922/155.021/155.111/0.437 ms
14/07/01-11:18:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 154.839/155.017/155.098/0.094 ms
14/07/01-11:20:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 155.031/155.080/155.154/0.433 ms
14/07/01-11:22:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.961/155.067/155.114/0.357 ms
14/07/01-11:23:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 154.939/155.031/155.092/0.434 ms
14/07/01-11:25:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.866/155.042/155.138/0.266 ms
