14/07/01-10:55:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 129.427/129.522/129.719/0.250 ms
14/07/01-10:57:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.347/129.457/129.539/0.238 ms
14/07/01-10:58:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 129.291/129.354/129.405/0.231 ms
14/07/01-11:00:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.325/129.635/130.552/0.648 ms
14/07/01-11:02:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 129.270/129.476/129.812/0.293 ms
14/07/01-11:03:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.357/129.452/129.536/0.399 ms
14/07/01-11:05:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.351/129.594/130.283/0.572 ms
14/07/01-11:07:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 130.078/130.748/131.310/0.671 ms
14/07/01-11:08:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.395/129.502/129.622/0.463 ms
14/07/01-11:10:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 129.414/129.596/130.116/0.263 ms
14/07/01-11:11:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 129.335/129.373/129.475/0.325 ms
14/07/01-11:13:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 129.268/129.381/129.484/0.403 ms
14/07/01-11:15:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.375/129.446/129.526/0.398 ms
14/07/01-11:16:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 129.351/129.486/129.642/0.109 ms
14/07/01-11:18:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.340/129.433/129.559/0.332 ms
14/07/01-11:20:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.267/129.445/129.623/0.258 ms
14/07/01-11:21:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 129.323/129.387/129.456/0.457 ms
14/07/01-11:23:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 129.269/129.399/129.533/0.249 ms
14/07/01-11:24:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 129.405/129.556/129.629/0.240 ms
14/07/01-11:26:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.403/129.450/129.559/0.398 ms
14/07/01-11:28:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 129.346/129.396/129.442/0.323 ms
14/07/01-11:29:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.339/129.450/129.508/0.234 ms
14/07/01-11:31:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.291/129.419/129.555/0.332 ms
14/07/01-11:33:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.314/129.397/129.463/0.397 ms
14/07/01-11:34:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.231/129.402/129.544/0.251 ms
