14/07/01-10:56:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.402/126.483/126.586/0.394 ms
14/07/01-10:58:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 126.449/126.678/127.426/0.491 ms
14/07/01-10:59:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 126.458/126.852/128.341/0.840 ms
14/07/01-11:01:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.423/126.443/126.488/0.318 ms
14/07/01-11:02:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.524/126.676/126.997/0.366 ms
14/07/01-11:04:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.439/126.489/126.560/0.451 ms
14/07/01-11:06:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.486/126.554/126.670/0.455 ms
14/07/01-11:07:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.416/127.002/127.965/0.679 ms
14/07/01-11:09:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.429/126.524/126.670/0.400 ms
14/07/01-11:11:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.413/127.086/128.368/0.685 ms
14/07/01-11:12:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.452/126.693/127.171/0.346 ms
14/07/01-11:14:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.420/126.455/126.522/0.227 ms
14/07/01-11:16:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.565/127.159/127.998/0.708 ms
14/07/01-11:17:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.400/126.470/126.510/0.391 ms
14/07/01-11:19:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.389/126.607/127.061/0.328 ms
14/07/01-11:20:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 126.460/126.543/126.699/0.241 ms
14/07/01-11:22:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.465/126.555/126.673/0.078 ms
14/07/01-11:24:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.411/126.474/126.551/0.452 ms
14/07/01-11:25:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.455/127.009/127.725/0.652 ms
14/07/01-11:27:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.435/126.505/126.605/0.059 ms
14/07/01-11:29:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.386/126.458/126.535/0.052 ms
14/07/01-11:30:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.506/126.839/127.296/0.483 ms
14/07/01-11:32:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 126.521/127.686/132.167/2.274 ms
14/07/01-11:33:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.473/126.673/127.387/0.357 ms
14/07/01-11:35:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 126.379/126.640/127.036/0.522 ms
14/07/01-11:37:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.618/127.641/129.065/0.812 ms
14/07/01-11:38:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.451/126.523/126.574/0.452 ms
14/07/01-11:40:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.506/126.646/126.861/0.472 ms
14/07/01-11:42:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.491/126.998/128.351/0.830 ms
14/07/01-11:43:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.387/126.447/126.478/0.227 ms
14/07/01-11:45:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.410/126.717/127.737/0.511 ms
14/07/01-11:47:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.470/126.636/127.073/0.220 ms
14/07/01-11:48:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.405/126.459/126.518/0.391 ms
14/07/01-11:50:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.437/127.276/130.284/1.539 ms
14/07/01-11:51:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.404/126.471/126.546/0.230 ms
14/07/01-11:53:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.416/126.525/126.740/0.464 ms
14/07/01-11:55:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.466/126.997/129.018/1.059 ms
14/07/01-11:56:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.446/126.465/126.502/0.225 ms
14/07/01-11:58:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.498/126.598/126.719/0.237 ms
14/07/01-12:00:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.421/126.691/127.046/0.225 ms
14/07/01-12:02:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 126.542/127.372/130.135/1.439 ms
14/07/01-12:03:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.477/126.928/128.416/0.875 ms
14/07/01-12:05:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.459/126.668/127.186/0.356 ms
14/07/01-12:07:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.433/126.576/126.869/0.476 ms
14/07/01-12:09:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.456/126.608/126.844/0.343 ms
14/07/01-12:11:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.475/126.761/127.272/0.357 ms
14/07/01-12:12:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.461/126.608/126.935/0.482 ms
14/07/01-12:14:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.530/126.671/127.102/0.218 ms
14/07/01-12:16:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 126.541/126.608/126.662/0.452 ms
14/07/01-12:18:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.446/127.525/131.446/2.012 ms
14/07/01-12:19:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.491/126.609/126.862/0.265 ms
14/07/01-12:21:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.538/127.007/128.492/0.785 ms
14/07/01-12:23:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.529/129.051/134.474/2.934 ms
14/07/01-12:25:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.622/131.149/136.801/3.927 ms
14/07/01-12:27:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.777/130.173/135.421/3.234 ms
14/07/01-12:28:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.231/136.385/142.570/5.310 ms
14/07/01-12:30:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 130.564/140.651/148.313/5.857 ms
14/07/01-12:32:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 139.050/142.417/146.208/2.373 ms
14/07/01-12:34:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 135.714/140.548/148.515/4.330 ms
14/07/01-12:36:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 134.369/141.611/147.097/4.255 ms
14/07/01-12:37:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.635/142.714/147.210/3.139 ms
14/07/01-12:39:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 138.296/143.732/148.244/3.261 ms
14/07/01-12:41:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 135.769/141.967/148.652/4.954 ms
14/07/01-12:43:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.363/146.770/149.359/1.965 ms
14/07/01-12:45:03 - 5 packets transmitted, 4 received, 20% packet loss, time 4008ms rtt min/avg/max/mdev = 145.235/147.641/149.221/1.582 ms
14/07/01-12:46:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.726/146.513/148.874/2.241 ms
14/07/01-12:48:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 142.327/145.964/148.413/2.198 ms
14/07/01-12:50:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 142.971/146.296/148.290/2.318 ms
14/07/01-12:52:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.414/148.009/149.021/1.055 ms
14/07/01-12:54:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 144.950/146.820/148.860/1.697 ms
14/07/01-12:55:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 144.819/146.585/148.455/1.542 ms
14/07/01-12:57:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 144.994/147.622/148.635/1.376 ms
14/07/01-12:59:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.462/146.200/148.716/1.919 ms
14/07/01-13:01:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.238/146.564/147.790/1.017 ms
14/07/01-13:02:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 146.317/148.276/148.807/1.010 ms
14/07/01-13:04:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 147.673/148.357/149.091/0.712 ms
14/07/01-13:06:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 148.275/148.699/149.337/0.561 ms
14/07/01-13:07:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.690/148.026/149.408/1.292 ms
14/07/01-13:09:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.302/148.187/148.923/1.022 ms
14/07/01-13:11:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.245/145.936/147.977/1.632 ms
14/07/01-13:12:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 144.241/147.667/149.617/1.878 ms
14/07/01-13:14:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.274/146.907/150.151/2.236 ms
14/07/01-13:15:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 146.521/147.999/149.487/1.105 ms
14/07/01-13:17:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 141.918/146.042/148.621/2.573 ms
14/07/01-13:19:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.465/146.196/148.864/2.309 ms
14/07/01-13:20:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.885/146.936/149.027/1.251 ms
14/07/01-13:22:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 142.933/148.321/158.758/5.523 ms
14/07/01-13:24:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.188/147.655/148.678/1.282 ms
14/07/01-13:25:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 146.056/147.575/148.759/1.096 ms
14/07/01-13:27:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.332/145.444/147.179/1.645 ms
14/07/01-13:29:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.186/147.388/148.934/1.617 ms
