14/07/01-10:56:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.533/171.642/171.772/0.093 ms
14/07/01-10:58:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.565/171.643/171.766/0.529 ms
14/07/01-10:59:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.614/171.668/171.768/0.267 ms
14/07/01-11:01:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 171.538/171.641/171.809/0.278 ms
14/07/01-11:03:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.543/171.799/172.569/0.596 ms
14/07/01-11:04:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.556/171.624/171.682/0.373 ms
14/07/01-11:06:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.577/171.639/171.726/0.054 ms
14/07/01-11:08:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.542/171.678/171.911/0.308 ms
14/07/01-11:09:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.586/171.675/171.875/0.104 ms
14/07/01-11:11:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.585/172.186/173.595/0.837 ms
14/07/01-11:12:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 171.587/171.650/171.755/0.527 ms
14/07/01-11:14:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.550/171.605/171.684/0.373 ms
14/07/01-11:16:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.546/171.612/171.695/0.266 ms
14/07/01-11:17:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.531/171.614/171.670/0.267 ms
14/07/01-11:19:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.546/171.610/171.721/0.268 ms
14/07/01-11:21:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.584/172.144/174.070/1.065 ms
14/07/01-11:22:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.601/171.652/171.734/0.373 ms
14/07/01-11:24:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.516/171.658/171.749/0.380 ms
14/07/01-11:25:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.585/171.630/171.721/0.373 ms
14/07/01-11:27:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.538/171.652/171.745/0.071 ms
14/07/01-11:29:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.569/171.647/171.700/0.048 ms
14/07/01-11:30:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.514/171.638/171.784/0.280 ms
14/07/01-11:32:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.510/171.690/171.814/0.280 ms
14/07/01-11:34:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.527/171.609/171.696/0.457 ms
14/07/01-11:35:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.534/171.745/172.402/0.330 ms
14/07/01-11:37:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 172.129/172.742/173.639/0.594 ms
14/07/01-11:39:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.583/171.638/171.701/0.040 ms
14/07/01-11:40:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 171.621/171.697/171.769/0.457 ms
14/07/01-11:42:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 171.518/172.032/173.516/0.915 ms
14/07/01-11:43:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.622/172.689/176.592/1.969 ms
14/07/01-11:45:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.589/171.647/171.692/0.047 ms
14/07/01-11:47:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.539/171.775/172.372/0.481 ms
14/07/01-11:48:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.559/171.777/172.167/0.440 ms
14/07/01-11:50:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.559/171.641/171.762/0.382 ms
14/07/01-11:52:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.562/171.745/172.175/0.434 ms
