14/07/01-10:55:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.925/145.949/145.990/0.023 ms
14/07/01-10:57:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.912/145.950/145.981/0.419 ms
14/07/01-10:59:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.919/145.939/145.959/0.483 ms
14/07/01-11:00:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.920/145.967/146.003/0.243 ms
14/07/01-11:02:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.913/145.962/146.027/0.038 ms
14/07/01-11:04:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.911/145.959/146.056/0.247 ms
14/07/01-11:05:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.924/145.944/145.966/0.015 ms
14/07/01-11:07:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.922/145.943/145.965/0.242 ms
14/07/01-11:09:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 145.930/145.961/146.054/0.246 ms
14/07/01-11:10:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.932/145.957/145.998/0.342 ms
14/07/01-11:12:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.922/145.934/145.963/0.483 ms
14/07/01-11:13:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.921/145.929/145.938/0.241 ms
14/07/01-11:15:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.943/145.954/145.981/0.341 ms
14/07/01-11:17:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.950/145.986/146.099/0.346 ms
14/07/01-11:18:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 145.926/145.952/146.002/0.243 ms
14/07/01-11:20:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.924/145.956/145.987/0.419 ms
14/07/01-11:22:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.944/145.975/146.010/0.342 ms
14/07/01-11:23:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.898/145.929/145.962/0.419 ms
14/07/01-11:25:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.903/145.928/145.967/0.242 ms
14/07/01-11:27:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.933/145.983/146.067/0.420 ms
14/07/01-11:28:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.917/145.953/145.996/0.028 ms
14/07/01-11:30:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.933/146.031/146.307/0.138 ms
14/07/01-11:31:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 145.921/145.951/145.982/0.025 ms
14/07/01-11:33:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.940/145.962/145.993/0.342 ms
14/07/01-11:35:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.924/145.948/145.983/0.342 ms
14/07/01-11:36:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.922/145.933/145.951/0.483 ms
14/07/01-11:38:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.924/145.974/146.018/0.039 ms
14/07/01-11:40:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.917/146.332/147.845/0.794 ms
14/07/01-11:41:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4009ms rtt min/avg/max/mdev = 145.918/146.316/147.840/0.902 ms
14/07/01-11:43:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 145.924/145.945/145.960/0.341 ms
14/07/01-11:44:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.940/145.982/146.075/0.246 ms
14/07/01-11:46:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.923/145.949/145.970/0.242 ms
14/07/01-11:48:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.907/145.938/145.972/0.419 ms
14/07/01-11:49:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 145.930/145.968/145.993/0.419 ms
14/07/01-11:51:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 145.924/145.970/146.005/0.026 ms
14/07/01-11:53:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 145.932/145.964/146.005/0.024 ms
14/07/01-11:54:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 145.970/145.988/145.998/0.483 ms
14/07/01-11:56:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 145.937/145.955/145.981/0.418 ms
14/07/01-11:58:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 145.911/145.936/145.959/0.016 ms
14/07/01-11:59:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.935/145.972/146.004/0.342 ms
14/07/01-12:01:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.919/145.948/145.988/0.419 ms
14/07/01-12:03:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.937/145.958/145.985/0.418 ms
14/07/01-12:05:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.950/145.977/146.049/0.036 ms
