14/07/01-10:56:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.081/51.183/51.276/0.295 ms
14/07/01-10:58:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 51.106/51.137/51.170/0.203 ms
14/07/01-11:00:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.081/51.607/53.160/0.808 ms
14/07/01-11:01:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.114/51.243/51.444/0.182 ms
14/07/01-11:03:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.153/51.255/51.429/0.303 ms
14/07/01-11:05:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 51.104/51.200/51.301/0.075 ms
14/07/01-11:06:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.253/51.956/53.059/0.687 ms
14/07/01-11:08:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.042/51.122/51.236/0.293 ms
14/07/01-11:09:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.201/51.293/51.452/0.298 ms
14/07/01-11:11:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.201/51.219/51.242/0.144 ms
14/07/01-11:13:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.108/51.137/51.167/0.144 ms
14/07/01-11:14:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.233/51.250/51.278/0.248 ms
14/07/01-11:16:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.101/51.160/51.282/0.157 ms
14/07/01-11:18:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 51.120/51.192/51.301/0.258 ms
14/07/01-11:19:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.009/51.221/51.459/0.147 ms
