14/07/01-10:56:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 55.764/55.796/55.848/0.300 ms
14/07/01-10:58:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 55.767/55.786/55.799/0.011 ms
14/07/01-11:00:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 55.701/55.745/55.819/0.043 ms
14/07/01-11:01:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.760/55.837/55.944/0.061 ms
14/07/01-11:03:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 55.722/55.816/55.993/0.275 ms
14/07/01-11:04:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 55.774/55.830/55.976/0.167 ms
14/07/01-11:06:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.684/56.379/57.286/0.723 ms
14/07/01-11:08:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 55.678/55.734/55.800/0.045 ms
14/07/01-11:09:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 55.692/55.854/56.197/0.314 ms
14/07/01-11:11:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 55.781/55.812/55.886/0.154 ms
14/07/01-11:13:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 55.782/55.816/55.838/0.259 ms
14/07/01-11:14:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 55.777/55.798/55.845/0.024 ms
14/07/01-11:16:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.761/56.616/57.752/0.887 ms
14/07/01-11:17:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.446/55.538/55.738/0.184 ms
14/07/01-11:19:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 55.434/55.469/55.519/0.152 ms
14/07/01-11:21:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.450/55.513/55.576/0.156 ms
14/07/01-11:22:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.432/55.452/55.483/0.020 ms
14/07/01-11:24:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.473/55.496/55.565/0.260 ms
14/07/01-11:26:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 55.341/55.369/55.392/0.258 ms
14/07/01-11:27:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.470/55.488/55.504/0.298 ms
14/07/01-11:29:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.463/55.477/55.499/0.149 ms
14/07/01-11:31:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.399/55.444/55.491/0.153 ms
14/07/01-11:32:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 55.477/55.620/55.794/0.292 ms
14/07/01-11:34:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.505/55.829/56.550/0.458 ms
14/07/01-11:35:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 55.744/55.820/56.005/0.176 ms
14/07/01-11:37:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.753/55.827/55.922/0.059 ms
14/07/01-11:39:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.769/55.802/55.849/0.300 ms
14/07/01-11:40:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 55.776/55.803/55.857/0.152 ms
14/07/01-11:42:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.811/55.837/55.872/0.150 ms
14/07/01-11:44:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 55.773/55.800/55.828/0.212 ms
14/07/01-11:45:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 55.769/55.828/55.936/0.061 ms
14/07/01-11:47:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 55.783/55.796/55.806/0.298 ms
14/07/01-11:48:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 55.731/55.785/55.868/0.302 ms
