14/07/01-10:55:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 102.248/102.305/102.406/0.209 ms
14/07/01-10:57:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.210/102.263/102.323/0.352 ms
14/07/01-10:58:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.228/102.239/102.260/0.202 ms
14/07/01-11:00:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.259/102.277/102.294/0.011 ms
14/07/01-11:01:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.205/102.219/102.230/0.009 ms
14/07/01-11:03:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.219/102.234/102.256/0.202 ms
14/07/01-11:05:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.243/102.270/102.299/0.351 ms
14/07/01-11:06:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.997/103.697/104.129/0.534 ms
14/07/01-11:08:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 102.178/102.197/102.232/0.286 ms
14/07/01-11:10:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.194/102.602/104.128/0.790 ms
14/07/01-11:11:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.162/102.191/102.219/0.019 ms
14/07/01-11:13:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.182/102.229/102.289/0.206 ms
14/07/01-11:14:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.191/102.236/102.394/0.359 ms
14/07/01-11:16:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.177/102.320/102.577/0.430 ms
14/07/01-11:18:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.239/102.273/102.319/0.204 ms
14/07/01-11:19:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 102.237/102.268/102.324/0.030 ms
14/07/01-11:21:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.222/102.295/102.492/0.364 ms
14/07/01-11:23:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.219/102.276/102.408/0.214 ms
14/07/01-11:24:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.229/102.298/102.405/0.074 ms
14/07/01-11:26:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.241/102.287/102.365/0.289 ms
14/07/01-11:28:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.240/102.276/102.312/0.203 ms
14/07/01-11:29:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.223/102.244/102.271/0.286 ms
14/07/01-11:31:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.218/102.478/103.338/0.431 ms
14/07/01-11:32:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.262/102.316/102.435/0.292 ms
14/07/01-11:34:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.265/102.502/103.341/0.509 ms
14/07/01-11:36:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.284/102.291/102.302/0.404 ms
14/07/01-11:37:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.180/102.196/102.213/0.286 ms
14/07/01-11:39:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.166/102.207/102.256/0.204 ms
14/07/01-11:41:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.202/102.361/102.796/0.413 ms
14/07/01-11:42:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.179/102.209/102.278/0.352 ms
14/07/01-11:44:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.177/102.215/102.277/0.035 ms
14/07/01-11:45:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.152/102.182/102.205/0.019 ms
14/07/01-11:47:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.160/102.340/102.987/0.476 ms
14/07/01-11:49:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.156/102.177/102.202/0.404 ms
14/07/01-11:50:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 102.236/102.252/102.289/0.404 ms
14/07/01-11:52:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 102.224/102.255/102.295/0.405 ms
14/07/01-11:54:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.271/102.317/102.364/0.351 ms
14/07/01-11:55:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.236/102.263/102.282/0.350 ms
14/07/01-11:57:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 102.207/102.235/102.296/0.204 ms
14/07/01-11:59:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 102.226/102.246/102.263/0.286 ms
14/07/01-12:00:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 102.240/102.276/102.310/0.203 ms
14/07/01-12:02:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.232/102.266/102.303/0.029 ms
14/07/01-12:04:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.206/102.250/102.294/0.351 ms
14/07/01-12:06:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.330/103.024/104.156/0.724 ms
14/07/01-12:08:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.281/102.775/104.180/0.796 ms
14/07/01-12:09:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.242/102.263/102.303/0.021 ms
14/07/01-12:11:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.297/102.379/102.530/0.414 ms
14/07/01-12:13:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.250/102.264/102.286/0.350 ms
14/07/01-12:15:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.243/102.270/102.292/0.202 ms
14/07/01-12:16:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.221/102.242/102.259/0.202 ms
14/07/01-12:18:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.242/102.265/102.312/0.204 ms
14/07/01-12:20:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.298/102.334/102.436/0.408 ms
14/07/01-12:22:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 102.278/102.297/102.336/0.203 ms
14/07/01-12:24:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.240/102.271/102.322/0.204 ms
14/07/01-12:25:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.218/102.243/102.268/0.019 ms
14/07/01-12:27:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 102.218/102.241/102.284/0.405 ms
14/07/01-12:29:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.245/102.262/102.281/0.012 ms
14/07/01-12:31:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.170/102.562/103.995/0.744 ms
14/07/01-12:33:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.152/102.167/102.178/0.009 ms
14/07/01-12:34:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.188/102.214/102.248/0.350 ms
14/07/01-12:36:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.166/102.193/102.228/0.023 ms
14/07/01-12:38:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.181/102.236/102.368/0.356 ms
14/07/01-12:40:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.266/102.501/103.154/0.444 ms
14/07/01-12:42:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 102.256/102.326/102.396/0.407 ms
14/07/01-12:43:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.244/102.289/102.338/0.406 ms
14/07/01-12:45:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.220/102.254/102.289/0.204 ms
14/07/01-12:47:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.238/102.258/102.277/0.202 ms
14/07/01-12:49:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.242/102.266/102.295/0.020 ms
14/07/01-12:51:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.228/102.263/102.306/0.287 ms
14/07/01-12:52:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.253/102.265/102.289/0.202 ms
14/07/01-12:54:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.235/102.274/102.326/0.287 ms
14/07/01-12:56:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.217/102.280/102.372/0.208 ms
14/07/01-12:58:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.172/102.187/102.197/0.009 ms
14/07/01-13:00:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.198/102.382/103.042/0.522 ms
14/07/01-13:01:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.168/102.183/102.220/0.018 ms
14/07/01-13:03:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.163/102.189/102.222/0.405 ms
14/07/01-13:05:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.179/102.314/102.665/0.275 ms
14/07/01-13:06:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.536/103.128/104.135/0.612 ms
14/07/01-13:08:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.183/102.586/104.130/0.823 ms
14/07/01-13:10:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.188/102.217/102.268/0.287 ms
14/07/01-13:11:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.177/102.518/103.786/0.724 ms
14/07/01-13:13:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.163/102.179/102.199/0.202 ms
14/07/01-13:14:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.166/102.230/102.351/0.213 ms
14/07/01-13:16:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.232/102.253/102.290/0.405 ms
14/07/01-13:18:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.244/102.262/102.289/0.286 ms
14/07/01-13:19:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.213/102.235/102.258/0.286 ms
14/07/01-13:21:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.214/102.261/102.341/0.289 ms
14/07/01-13:23:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.157/102.195/102.254/0.205 ms
14/07/01-13:24:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.188/102.202/102.231/0.404 ms
14/07/01-13:26:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.189/102.205/102.238/0.202 ms
14/07/01-13:28:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 102.181/102.190/102.198/0.404 ms
