14/07/01-10:56:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.975/251.026/251.134/0.321 ms
14/07/01-10:57:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.966/250.978/250.994/0.633 ms
14/07/01-10:59:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.976/250.983/250.999/0.008 ms
14/07/01-11:01:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 250.973/251.046/251.210/0.086 ms
14/07/01-11:02:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 250.892/251.316/252.854/0.769 ms
14/07/01-11:04:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 250.924/250.936/250.952/0.316 ms
14/07/01-11:06:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 250.905/251.062/251.414/0.487 ms
14/07/01-11:07:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.923/251.001/251.211/0.334 ms
14/07/01-11:09:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.907/250.928/250.957/0.317 ms
14/07/01-11:10:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.913/251.236/252.475/0.764 ms
14/07/01-11:12:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.919/250.953/251.015/0.034 ms
14/07/01-11:14:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.925/250.959/251.026/0.318 ms
14/07/01-11:15:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 250.904/250.919/250.938/0.013 ms
14/07/01-11:17:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.908/251.075/251.607/0.267 ms
14/07/01-11:19:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.904/250.939/250.989/0.448 ms
14/07/01-11:20:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.916/251.813/253.165/0.997 ms
14/07/01-11:22:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.923/250.935/250.957/0.011 ms
14/07/01-11:24:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.924/250.950/250.968/0.317 ms
14/07/01-11:25:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.895/250.910/250.924/0.448 ms
14/07/01-11:27:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.909/250.923/250.944/0.012 ms
14/07/01-11:28:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.897/250.941/251.011/0.634 ms
14/07/01-11:30:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.924/250.939/250.949/0.448 ms
14/07/01-11:32:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.927/250.968/251.047/0.635 ms
