14/07/01-10:57:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.100/261.257/261.314/0.651 ms
14/07/01-10:59:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.134/261.267/261.476/0.574 ms
14/07/01-11:00:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.047/261.201/261.320/0.656 ms
14/07/01-11:02:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.111/261.268/261.444/0.469 ms
14/07/01-11:04:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.091/261.216/261.320/0.332 ms
14/07/01-11:05:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.184/261.335/261.515/0.656 ms
14/07/01-11:07:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.094/261.267/261.377/0.569 ms
14/07/01-11:09:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.222/261.321/261.423/0.461 ms
14/07/01-11:10:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.038/261.203/261.337/0.470 ms
14/07/01-11:12:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.041/261.223/261.411/0.345 ms
14/07/01-11:14:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.162/261.266/261.326/0.649 ms
14/07/01-11:15:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.029/261.158/261.274/0.088 ms
14/07/01-11:17:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 260.994/261.574/262.630/0.558 ms
14/07/01-11:18:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.072/261.187/261.320/0.651 ms
14/07/01-11:20:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.040/261.245/261.376/0.655 ms
14/07/01-11:22:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.079/261.259/261.460/0.133 ms
