14/07/01-10:57:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.839/311.856/311.875/0.353 ms
14/07/01-10:59:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.812/311.864/311.921/0.355 ms
14/07/01-11:01:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.853/311.928/312.070/0.078 ms
14/07/01-11:02:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.838/311.982/312.357/0.534 ms
14/07/01-11:04:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.871/311.895/311.934/0.612 ms
14/07/01-11:06:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.870/312.679/314.212/0.943 ms
14/07/01-11:07:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.790/311.860/311.921/0.613 ms
14/07/01-11:09:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.855/311.939/312.220/0.627 ms
14/07/01-11:10:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.881/311.922/312.003/0.045 ms
14/07/01-11:12:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.836/311.868/311.943/0.613 ms
14/07/01-11:14:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.846/311.997/312.311/0.389 ms
14/07/01-11:15:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 311.855/311.890/311.924/0.029 ms
14/07/01-11:17:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.847/311.897/311.954/0.707 ms
14/07/01-11:19:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.825/311.905/312.082/0.366 ms
14/07/01-11:20:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.856/312.065/312.827/0.519 ms
14/07/01-11:22:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.804/311.922/312.195/0.141 ms
14/07/01-11:24:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.839/311.879/311.953/0.613 ms
14/07/01-11:25:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 311.841/311.860/311.913/0.500 ms
14/07/01-11:27:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 311.794/311.856/311.938/0.501 ms
14/07/01-11:29:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.849/311.875/311.912/0.022 ms
14/07/01-11:30:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.848/311.883/311.921/0.027 ms
14/07/01-11:32:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.807/311.844/311.876/0.500 ms
14/07/01-11:33:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.860/311.879/311.900/0.706 ms
14/07/01-11:35:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.862/312.840/313.799/1.014 ms
14/07/01-11:37:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.843/311.879/311.943/0.500 ms
14/07/01-11:38:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.837/311.878/311.932/0.354 ms
14/07/01-11:40:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.858/311.921/312.022/0.357 ms
14/07/01-11:42:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.848/312.406/313.757/0.898 ms
14/07/01-11:43:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.809/311.880/311.923/0.612 ms
14/07/01-11:45:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.835/311.914/311.957/0.707 ms
14/07/01-11:47:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.778/311.879/312.008/0.617 ms
14/07/01-11:48:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.849/311.891/311.940/0.500 ms
14/07/01-11:50:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.866/311.879/311.894/0.499 ms
14/07/01-11:51:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.828/311.875/311.935/0.707 ms
14/07/01-11:53:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.758/311.872/311.960/0.503 ms
14/07/01-11:55:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.828/311.880/311.926/0.500 ms
14/07/01-11:56:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.887/311.959/312.044/0.709 ms
14/07/01-11:58:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.848/312.430/314.364/1.146 ms
14/07/01-12:00:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.840/311.874/311.922/0.612 ms
14/07/01-12:02:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.821/311.987/312.238/0.528 ms
14/07/01-12:03:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.809/311.962/312.220/0.627 ms
14/07/01-12:05:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 312.389/314.135/315.762/1.385 ms
14/07/01-12:07:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.910/311.947/312.000/0.612 ms
14/07/01-12:09:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.810/311.944/312.289/0.394 ms
14/07/01-12:11:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.863/311.895/311.942/0.500 ms
14/07/01-12:12:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.848/311.901/311.973/0.707 ms
14/07/01-12:14:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.795/311.878/311.946/0.613 ms
14/07/01-12:16:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.804/311.858/311.886/0.031 ms
14/07/01-12:18:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.844/311.903/312.033/0.359 ms
14/07/01-12:19:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.829/311.877/311.910/0.612 ms
14/07/01-12:21:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.852/311.876/311.907/0.612 ms
14/07/01-12:23:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 311.877/311.906/311.976/0.355 ms
14/07/01-12:25:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.805/311.857/311.943/0.501 ms
14/07/01-12:27:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.763/311.858/311.991/0.505 ms
14/07/01-12:28:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.908/312.191/313.292/0.823 ms
14/07/01-12:30:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.850/311.891/311.951/0.036 ms
14/07/01-12:32:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.836/311.877/311.937/0.612 ms
14/07/01-12:34:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 311.822/311.903/312.030/0.072 ms
14/07/01-12:36:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.833/311.873/311.934/0.612 ms
14/07/01-12:38:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 311.878/311.921/312.027/0.357 ms
14/07/01-12:39:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.841/311.880/311.942/0.707 ms
14/07/01-12:41:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.882/311.923/311.988/0.355 ms
14/07/01-12:43:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 311.860/311.892/311.929/0.500 ms
14/07/01-12:45:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.873/311.891/311.924/0.499 ms
14/07/01-12:47:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 311.849/312.264/312.897/0.479 ms
14/07/01-12:48:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.901/311.934/311.978/0.029 ms
14/07/01-12:50:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.867/311.927/311.978/0.501 ms
14/07/01-12:52:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.876/311.904/311.936/0.500 ms
14/07/01-12:54:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.807/311.876/311.952/0.502 ms
14/07/01-12:56:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.834/311.867/311.911/0.354 ms
14/07/01-12:57:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.806/311.858/311.934/0.501 ms
