14/07/01-10:57:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 45.052/45.074/45.088/0.232 ms
14/07/01-10:58:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 45.016/45.054/45.068/0.019 ms
14/07/01-11:00:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 43.779/43.817/43.886/0.232 ms
14/07/01-11:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.789/43.809/43.824/0.265 ms
14/07/01-11:03:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.802/43.821/43.843/0.133 ms
14/07/01-11:05:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.809/43.826/43.854/0.133 ms
14/07/01-11:07:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 43.763/43.792/43.815/0.265 ms
14/07/01-11:08:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.798/43.821/43.860/0.230 ms
14/07/01-11:10:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.753/44.806/45.092/0.543 ms
14/07/01-11:11:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 45.046/45.093/45.170/0.140 ms
14/07/01-11:13:34 - 5 packets transmitted, 4 received, 20% packet loss, time 4011ms rtt min/avg/max/mdev = 45.065/45.078/45.103/0.015 ms
14/07/01-11:15:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 45.071/45.093/45.137/0.191 ms
14/07/01-11:16:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.819/44.554/45.089/0.626 ms
14/07/01-11:18:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.768/43.815/43.860/0.189 ms
14/07/01-11:20:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.801/43.815/43.827/0.132 ms
14/07/01-11:21:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.761/43.805/43.845/0.266 ms
14/07/01-11:23:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.774/43.804/43.823/0.187 ms
14/07/01-11:25:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.754/43.797/43.814/0.134 ms
14/07/01-11:26:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.805/43.828/43.865/0.188 ms
14/07/01-11:28:19 - 5 packets transmitted, 4 received, 20% packet loss, time 4011ms rtt min/avg/max/mdev = 45.020/45.043/45.081/0.260 ms
14/07/01-11:29:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 45.050/45.075/45.089/0.268 ms
14/07/01-11:31:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 45.048/45.062/45.085/0.190 ms
14/07/01-11:33:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.817/43.854/43.904/0.190 ms
14/07/01-11:34:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 45.070/45.089/45.119/0.190 ms
14/07/01-11:36:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 44.986/45.065/45.130/0.195 ms
