14/07/01-10:57:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.073/35.139/35.211/0.173 ms
14/07/01-10:58:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.013/35.083/35.152/0.243 ms
14/07/01-11:00:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 35.072/35.125/35.174/0.033 ms
14/07/01-11:01:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.107/35.183/35.235/0.051 ms
14/07/01-11:03:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.162/35.247/35.432/0.195 ms
14/07/01-11:05:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.062/35.168/35.288/0.140 ms
14/07/01-11:06:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.127/35.255/35.402/0.226 ms
14/07/01-11:08:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.111/35.159/35.192/0.207 ms
14/07/01-11:10:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.082/35.164/35.200/0.173 ms
14/07/01-11:11:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.085/35.175/35.254/0.132 ms
14/07/01-11:13:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.078/35.163/35.246/0.217 ms
14/07/01-11:15:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 35.093/35.156/35.267/0.245 ms
14/07/01-11:16:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.085/35.142/35.238/0.176 ms
14/07/01-11:18:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.115/35.358/36.161/0.451 ms
14/07/01-11:19:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.071/35.159/35.228/0.244 ms
14/07/01-11:21:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.039/35.126/35.266/0.250 ms
14/07/01-11:23:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.085/35.174/35.285/0.069 ms
14/07/01-11:24:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.167/35.204/35.244/0.238 ms
14/07/01-11:26:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.163/35.205/35.254/0.124 ms
14/07/01-11:28:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.145/35.218/35.276/0.174 ms
14/07/01-11:29:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.121/35.191/35.256/0.175 ms
14/07/01-11:31:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.106/35.160/35.197/0.170 ms
14/07/01-11:33:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.040/35.125/35.162/0.209 ms
14/07/01-11:34:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.183/35.220/35.264/0.031 ms
14/07/01-11:36:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.132/35.206/35.263/0.126 ms
14/07/01-11:37:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 35.030/35.151/35.240/0.067 ms
14/07/01-11:39:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.081/35.140/35.180/0.239 ms
14/07/01-11:41:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 35.081/35.251/35.592/0.178 ms
14/07/01-11:42:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 35.070/35.160/35.321/0.091 ms
14/07/01-11:44:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.114/35.181/35.234/0.044 ms
14/07/01-11:46:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.148/35.171/35.193/0.018 ms
14/07/01-11:47:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.149/35.193/35.262/0.047 ms
14/07/01-11:49:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.072/35.150/35.240/0.243 ms
14/07/01-11:51:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.197/35.246/35.295/0.041 ms
14/07/01-11:52:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.116/35.200/35.286/0.058 ms
14/07/01-11:54:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.201/35.258/35.302/0.123 ms
14/07/01-11:55:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 35.132/35.158/35.185/0.169 ms
14/07/01-11:57:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.118/35.172/35.286/0.213 ms
14/07/01-11:59:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.178/35.214/35.262/0.207 ms
14/07/01-12:01:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.125/35.193/35.247/0.241 ms
14/07/01-12:02:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 35.175/35.212/35.297/0.126 ms
14/07/01-12:04:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.119/35.206/35.326/0.219 ms
14/07/01-12:06:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.111/35.153/35.237/0.126 ms
14/07/01-12:08:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.106/35.173/35.225/0.175 ms
14/07/01-12:10:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.133/35.290/35.651/0.304 ms
14/07/01-12:11:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.132/35.202/35.272/0.174 ms
14/07/01-12:13:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 35.124/35.217/35.355/0.252 ms
14/07/01-12:15:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.084/35.111/35.163/0.169 ms
14/07/01-12:17:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.072/35.157/35.270/0.179 ms
14/07/01-12:18:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 35.062/35.168/35.273/0.072 ms
14/07/01-12:20:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.147/35.192/35.231/0.123 ms
14/07/01-12:22:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.114/35.170/35.210/0.031 ms
14/07/01-12:24:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.203/35.327/35.790/0.309 ms
14/07/01-12:26:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.086/35.166/35.231/0.056 ms
14/07/01-12:27:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.081/35.146/35.182/0.034 ms
14/07/01-12:29:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.152/35.175/35.232/0.207 ms
14/07/01-12:31:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 35.194/35.252/35.373/0.246 ms
14/07/01-12:33:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 35.132/35.206/35.260/0.173 ms
14/07/01-12:35:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 35.020/35.093/35.158/0.127 ms
14/07/01-12:37:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.124/35.169/35.207/0.170 ms
14/07/01-12:38:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.075/35.199/35.343/0.149 ms
14/07/01-12:40:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.157/35.253/35.386/0.221 ms
