14/07/01-10:58:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.342/122.469/122.663/0.403 ms
14/07/01-10:59:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.361/122.537/122.759/0.360 ms
14/07/01-11:01:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.304/122.592/122.827/0.293 ms
14/07/01-11:03:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.335/122.483/122.630/0.243 ms
14/07/01-11:04:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 122.389/122.587/122.948/0.190 ms
14/07/01-11:06:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.518/122.630/122.765/0.237 ms
14/07/01-11:08:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.335/122.561/122.814/0.297 ms
14/07/01-11:09:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.399/122.551/122.781/0.354 ms
14/07/01-11:11:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.508/122.658/122.779/0.330 ms
14/07/01-11:12:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 122.343/122.591/123.057/0.337 ms
14/07/01-11:14:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 122.330/122.588/123.011/0.243 ms
14/07/01-11:16:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 122.378/122.469/122.559/0.388 ms
14/07/01-11:17:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 122.313/122.502/122.664/0.458 ms
14/07/01-11:19:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.322/122.643/122.991/0.312 ms
14/07/01-11:21:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 122.550/122.771/123.158/0.305 ms
14/07/01-11:22:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.460/122.752/122.954/0.422 ms
14/07/01-11:24:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.347/122.559/122.791/0.410 ms
14/07/01-11:26:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.429/122.708/122.989/0.286 ms
14/07/01-11:27:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.385/122.471/122.517/0.048 ms
14/07/01-11:29:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 122.391/122.500/122.690/0.456 ms
14/07/01-11:31:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.238/122.549/122.791/0.195 ms
14/07/01-11:32:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.345/122.670/122.877/0.425 ms
14/07/01-11:34:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.366/122.950/123.415/0.485 ms
14/07/01-11:35:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.290/122.485/122.749/0.359 ms
14/07/01-11:37:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 122.333/122.556/122.732/0.349 ms
14/07/01-11:39:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.253/122.582/123.070/0.286 ms
14/07/01-11:40:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.485/122.675/122.917/0.188 ms
14/07/01-11:42:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.292/122.535/122.856/0.324 ms
14/07/01-11:44:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.317/122.817/123.103/0.467 ms
14/07/01-11:45:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 122.291/122.679/123.159/0.464 ms
14/07/01-11:47:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.266/122.569/122.817/0.219 ms
14/07/01-11:49:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 122.388/122.774/123.631/0.453 ms
14/07/01-11:50:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.591/122.827/122.963/0.468 ms
14/07/01-11:52:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.284/122.565/123.009/0.406 ms
14/07/01-11:53:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.352/122.639/122.866/0.481 ms
14/07/01-11:55:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.543/122.837/123.366/0.363 ms
14/07/01-11:57:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.256/122.377/122.482/0.391 ms
14/07/01-11:58:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 122.352/122.525/122.748/0.407 ms
14/07/01-12:00:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.297/122.593/122.996/0.248 ms
14/07/01-12:02:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.700/122.832/123.092/0.259 ms
14/07/01-12:04:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.519/122.838/123.307/0.468 ms
14/07/01-12:06:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.335/122.633/122.901/0.288 ms
14/07/01-12:07:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.315/122.605/122.996/0.321 ms
14/07/01-12:09:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 122.582/122.770/123.073/0.173 ms
14/07/01-12:11:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.470/122.822/123.176/0.520 ms
14/07/01-12:13:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.298/122.677/122.985/0.338 ms
14/07/01-12:14:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.410/122.724/123.192/0.267 ms
14/07/01-12:16:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.323/122.642/122.805/0.284 ms
14/07/01-12:18:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.515/122.784/123.321/0.277 ms
14/07/01-12:20:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.394/122.784/123.393/0.517 ms
14/07/01-12:22:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 122.341/122.616/123.054/0.503 ms
14/07/01-12:23:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.420/122.668/122.786/0.255 ms
14/07/01-12:25:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.737/123.056/123.944/0.451 ms
14/07/01-12:27:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.352/122.583/122.763/0.260 ms
14/07/01-12:29:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.790/123.042/123.721/0.514 ms
