14/07/01-10:57:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 17.780/17.880/18.163/0.206 ms
14/07/01-10:58:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.742/17.798/17.850/0.091 ms
14/07/01-11:00:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.714/17.775/17.810/0.171 ms
14/07/01-11:02:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 17.792/17.831/17.891/0.123 ms
14/07/01-11:03:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 17.702/17.756/17.799/0.149 ms
14/07/01-11:05:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.792/17.876/17.928/0.096 ms
14/07/01-11:07:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 17.822/17.861/17.916/0.090 ms
14/07/01-11:08:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.795/17.826/17.852/0.086 ms
14/07/01-11:10:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.766/17.827/17.852/0.031 ms
14/07/01-11:12:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.739/17.963/18.296/0.210 ms
14/07/01-11:13:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 17.875/17.911/17.948/0.026 ms
14/07/01-11:15:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.771/17.827/17.911/0.131 ms
14/07/01-11:16:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.832/17.893/17.930/0.124 ms
14/07/01-11:18:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 17.765/17.806/17.848/0.089 ms
14/07/01-11:20:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 17.778/17.831/17.866/0.149 ms
14/07/01-11:21:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 17.751/17.819/17.879/0.152 ms
14/07/01-11:23:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.828/17.879/17.972/0.129 ms
14/07/01-11:25:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.831/18.109/19.090/0.490 ms
14/07/01-11:26:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.815/17.866/17.919/0.033 ms
14/07/01-11:28:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.781/17.845/17.919/0.101 ms
14/07/01-11:30:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 17.781/18.435/20.456/1.028 ms
14/07/01-11:31:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 17.836/17.892/17.954/0.094 ms
14/07/01-11:33:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 17.825/17.884/17.946/0.176 ms
