14/07/01-10:57:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.820/261.878/261.967/0.649 ms
14/07/01-10:59:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 259.118/259.336/259.577/0.665 ms
14/07/01-11:00:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 258.775/259.205/259.764/0.427 ms
14/07/01-11:02:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 258.747/259.105/259.534/0.442 ms
14/07/01-11:04:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 261.514/261.814/262.342/0.322 ms
14/07/01-11:05:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.380/257.854/258.217/0.704 ms
14/07/01-11:07:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 261.479/261.712/262.037/0.671 ms
14/07/01-11:09:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.209/261.841/262.200/0.336 ms
14/07/01-11:10:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 261.657/261.779/262.008/0.659 ms
14/07/01-11:12:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.577/261.704/261.859/0.467 ms
14/07/01-11:14:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.591/261.747/262.130/0.678 ms
14/07/01-11:15:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.446/261.657/261.901/0.381 ms
14/07/01-11:17:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 261.558/261.765/262.062/0.213 ms
14/07/01-11:19:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 257.795/258.096/258.565/0.531 ms
14/07/01-11:20:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.253/261.740/262.353/0.779 ms
14/07/01-11:22:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.487/261.709/262.006/0.685 ms
14/07/01-11:23:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.459/261.825/262.053/0.601 ms
14/07/01-11:25:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 261.577/261.859/262.357/0.717 ms
14/07/01-11:27:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.287/262.377/265.521/1.614 ms
14/07/01-11:28:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.589/261.790/261.959/0.349 ms
14/07/01-11:30:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.660/262.121/262.406/0.418 ms
14/07/01-11:32:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.546/262.002/262.486/0.334 ms
14/07/01-11:33:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 261.668/262.202/262.638/0.483 ms
14/07/01-11:35:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 261.873/262.074/262.385/0.683 ms
14/07/01-11:37:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.842/258.012/258.156/0.568 ms
14/07/01-11:38:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.613/261.990/262.424/0.258 ms
14/07/01-11:40:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.930/262.250/262.585/0.604 ms
14/07/01-11:41:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.671/261.889/262.129/0.150 ms
