14/07/01-10:58:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.038/249.061/249.079/0.014 ms
14/07/01-10:59:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 249.061/249.121/249.249/0.451 ms
14/07/01-11:01:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 248.911/249.061/249.114/0.635 ms
14/07/01-11:02:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.041/249.072/249.091/0.446 ms
14/07/01-11:04:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 249.012/249.081/249.118/0.547 ms
14/07/01-11:06:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 249.079/249.232/249.795/0.527 ms
14/07/01-11:07:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 248.995/249.086/249.146/0.633 ms
14/07/01-11:09:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 249.055/249.065/249.080/0.315 ms
14/07/01-11:11:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.081/249.107/249.131/0.446 ms
14/07/01-11:12:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 249.072/250.093/254.027/2.017 ms
14/07/01-11:14:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.070/249.085/249.107/0.631 ms
14/07/01-11:16:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 248.984/249.217/249.795/0.430 ms
14/07/01-11:17:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 249.054/249.247/249.860/0.627 ms
