14/07/01-10:57:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 101.615/101.680/101.720/0.035 ms
14/07/01-10:59:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.656/101.714/101.757/0.038 ms
14/07/01-11:00:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.586/101.653/101.746/0.211 ms
14/07/01-11:02:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.568/101.620/101.690/0.207 ms
14/07/01-11:03:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.592/101.672/101.742/0.208 ms
14/07/01-11:05:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.513/101.600/101.702/0.292 ms
14/07/01-11:07:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.633/101.707/101.788/0.207 ms
14/07/01-11:08:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.620/101.660/101.747/0.045 ms
14/07/01-11:10:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.619/101.684/101.782/0.291 ms
14/07/01-11:12:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.586/101.674/101.729/0.407 ms
14/07/01-11:13:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 101.668/101.709/101.780/0.287 ms
14/07/01-11:15:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 101.638/101.692/101.736/0.350 ms
14/07/01-11:17:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.502/101.649/101.722/0.410 ms
14/07/01-11:18:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.567/101.697/101.760/0.069 ms
14/07/01-11:20:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.537/101.637/101.706/0.354 ms
14/07/01-11:22:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 101.648/101.694/101.732/0.286 ms
14/07/01-11:23:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.627/101.674/101.713/0.286 ms
14/07/01-11:25:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.605/101.683/101.714/0.405 ms
14/07/01-11:26:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.659/101.714/101.759/0.032 ms
14/07/01-11:28:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.643/101.704/101.773/0.352 ms
14/07/01-11:30:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 101.566/101.635/101.715/0.211 ms
14/07/01-11:31:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.689/101.726/101.759/0.350 ms
14/07/01-11:33:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.625/101.673/101.760/0.207 ms
14/07/01-11:35:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.663/101.703/101.740/0.204 ms
14/07/01-11:36:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.555/101.643/101.725/0.354 ms
