14/07/01-10:57:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.835/63.971/64.102/0.244 ms
14/07/01-10:58:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.913/64.002/64.089/0.326 ms
14/07/01-11:00:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.971/64.030/64.108/0.169 ms
14/07/01-11:02:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.908/63.985/64.051/0.166 ms
14/07/01-11:03:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.808/63.921/64.053/0.106 ms
14/07/01-11:05:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.868/63.970/64.045/0.234 ms
14/07/01-11:06:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.870/63.952/64.031/0.168 ms
14/07/01-11:08:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.817/63.911/64.014/0.072 ms
14/07/01-11:10:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.865/64.001/64.118/0.293 ms
14/07/01-11:11:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.963/64.012/64.096/0.281 ms
14/07/01-11:13:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.915/63.992/64.042/0.231 ms
14/07/01-11:15:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.823/63.940/64.155/0.299 ms
14/07/01-11:16:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.929/63.977/64.067/0.281 ms
14/07/01-11:18:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.852/63.918/64.052/0.237 ms
14/07/01-11:20:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.828/64.001/64.106/0.094 ms
14/07/01-11:21:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.918/63.986/64.026/0.037 ms
14/07/01-11:23:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 63.846/63.924/64.042/0.175 ms
14/07/01-11:24:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.883/63.971/64.030/0.282 ms
14/07/01-11:26:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.832/63.953/64.108/0.243 ms
14/07/01-11:28:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 63.894/63.967/64.006/0.322 ms
14/07/01-11:29:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.883/63.935/63.973/0.278 ms
14/07/01-11:31:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.891/63.945/64.025/0.052 ms
14/07/01-11:33:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.907/63.964/63.989/0.321 ms
14/07/01-11:34:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.945/64.033/64.116/0.233 ms
14/07/01-11:36:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.836/63.994/64.094/0.192 ms
14/07/01-11:38:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.898/63.960/64.004/0.165 ms
14/07/01-11:39:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.898/64.001/64.076/0.325 ms
14/07/01-11:41:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.822/63.892/64.011/0.286 ms
14/07/01-11:42:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.868/63.921/63.976/0.166 ms
14/07/01-11:44:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.931/63.989/64.056/0.166 ms
14/07/01-11:46:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.880/63.970/64.067/0.325 ms
14/07/01-11:47:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.818/63.985/64.307/0.242 ms
14/07/01-11:49:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.876/63.965/64.069/0.175 ms
14/07/01-11:51:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.827/63.919/63.974/0.323 ms
14/07/01-11:52:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 63.818/63.897/63.958/0.324 ms
14/07/01-11:54:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.919/64.033/64.083/0.170 ms
14/07/01-11:56:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.843/63.885/63.937/0.278 ms
14/07/01-11:57:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.876/63.918/63.986/0.044 ms
14/07/01-11:59:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.865/63.940/64.034/0.172 ms
14/07/01-12:01:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 64.012/64.109/64.168/0.169 ms
14/07/01-12:02:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.894/63.972/64.064/0.284 ms
14/07/01-12:04:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.833/63.894/64.036/0.286 ms
14/07/01-12:06:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.911/63.939/64.023/0.165 ms
14/07/01-12:08:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 63.835/63.912/63.970/0.281 ms
14/07/01-12:10:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.826/63.920/64.009/0.173 ms
14/07/01-12:11:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.950/64.004/64.078/0.230 ms
14/07/01-12:13:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 63.952/64.055/64.163/0.237 ms
