14/07/01-10:58:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 265.482/265.545/265.697/0.656 ms
14/07/01-10:59:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 265.520/265.568/265.626/0.035 ms
14/07/01-11:01:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 264.014/265.233/265.587/0.691 ms
14/07/01-11:03:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.495/265.628/265.866/0.579 ms
14/07/01-11:04:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.479/265.634/265.829/0.662 ms
14/07/01-11:06:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 265.481/265.521/265.561/0.565 ms
14/07/01-11:07:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 263.831/265.181/265.550/0.749 ms
14/07/01-11:09:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 265.493/265.518/265.558/0.461 ms
14/07/01-11:11:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 264.132/265.387/266.087/0.868 ms
14/07/01-11:12:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.484/266.209/268.726/1.259 ms
14/07/01-11:14:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 265.535/265.610/265.764/0.335 ms
14/07/01-11:16:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 265.497/265.548/265.646/0.463 ms
14/07/01-11:17:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 265.497/265.549/265.652/0.464 ms
14/07/01-11:19:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.466/265.559/265.659/0.333 ms
14/07/01-11:21:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 265.478/265.550/265.664/0.466 ms
