14/07/01-10:57:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.113/54.145/54.165/0.209 ms
14/07/01-10:59:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.098/54.109/54.123/0.255 ms
14/07/01-11:00:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.130/54.163/54.204/0.256 ms
14/07/01-11:02:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.103/54.143/54.246/0.299 ms
14/07/01-11:04:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.095/54.191/54.463/0.136 ms
14/07/01-11:05:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.110/54.141/54.161/0.294 ms
14/07/01-11:07:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.120/54.149/54.172/0.018 ms
14/07/01-11:08:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.113/54.168/54.233/0.297 ms
14/07/01-11:10:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.099/54.152/54.263/0.299 ms
14/07/01-11:12:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.025/54.064/54.121/0.150 ms
14/07/01-11:13:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.026/54.083/54.137/0.152 ms
14/07/01-11:15:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.034/54.093/54.185/0.216 ms
14/07/01-11:17:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.017/54.053/54.096/0.210 ms
14/07/01-11:18:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.140/54.153/54.175/0.255 ms
14/07/01-11:20:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.187/54.212/54.233/0.255 ms
14/07/01-11:22:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.201/54.224/54.250/0.294 ms
14/07/01-11:23:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.184/54.212/54.256/0.024 ms
14/07/01-11:25:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.173/54.287/54.662/0.281 ms
14/07/01-11:27:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.207/54.263/54.424/0.305 ms
14/07/01-11:28:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.174/54.487/55.379/0.485 ms
14/07/01-11:30:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.127/54.223/54.407/0.309 ms
14/07/01-11:31:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.078/54.100/54.143/0.022 ms
14/07/01-11:33:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.104/54.146/54.239/0.154 ms
14/07/01-11:35:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.095/54.143/54.234/0.299 ms
14/07/01-11:36:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.084/54.119/54.175/0.031 ms
14/07/01-11:38:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.093/54.121/54.190/0.296 ms
14/07/01-11:40:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.110/54.135/54.200/0.150 ms
14/07/01-11:41:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.097/54.139/54.170/0.256 ms
14/07/01-11:43:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.087/54.119/54.142/0.294 ms
14/07/01-11:45:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.109/54.153/54.200/0.211 ms
14/07/01-11:46:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 54.109/54.114/54.125/0.005 ms
14/07/01-11:48:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.108/54.128/54.177/0.209 ms
14/07/01-11:49:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.129/54.162/54.231/0.211 ms
14/07/01-11:51:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.109/54.119/54.133/0.147 ms
14/07/01-11:53:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.096/54.130/54.170/0.256 ms
14/07/01-11:54:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.113/54.133/54.167/0.294 ms
14/07/01-11:56:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.085/54.112/54.148/0.149 ms
14/07/01-11:58:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.099/54.145/54.199/0.296 ms
14/07/01-11:59:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.070/54.125/54.162/0.257 ms
14/07/01-12:01:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.092/54.107/54.127/0.208 ms
14/07/01-12:03:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.048/54.099/54.188/0.299 ms
14/07/01-12:05:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.013/54.116/54.261/0.094 ms
14/07/01-12:07:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.028/54.051/54.065/0.147 ms
14/07/01-12:08:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 54.031/54.096/54.280/0.174 ms
14/07/01-12:10:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 54.042/54.118/54.229/0.266 ms
14/07/01-12:12:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.055/54.065/54.085/0.208 ms
14/07/01-12:14:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.016/54.040/54.071/0.148 ms
14/07/01-12:15:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.052/54.188/54.626/0.302 ms
14/07/01-12:17:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.078/54.170/54.488/0.334 ms
14/07/01-12:19:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.058/54.113/54.229/0.158 ms
14/07/01-12:21:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.052/54.101/54.153/0.150 ms
14/07/01-12:23:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 54.027/54.043/54.087/0.294 ms
14/07/01-12:25:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.041/54.064/54.108/0.149 ms
14/07/01-12:26:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.025/54.094/54.196/0.159 ms
14/07/01-12:28:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.055/54.070/54.092/0.255 ms
14/07/01-12:30:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.023/54.045/54.103/0.149 ms
14/07/01-12:32:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.033/54.064/54.096/0.255 ms
14/07/01-12:34:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.050/54.070/54.098/0.148 ms
14/07/01-12:35:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.035/54.092/54.143/0.257 ms
14/07/01-12:37:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.018/54.038/54.064/0.294 ms
14/07/01-12:39:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.033/54.078/54.120/0.257 ms
14/07/01-12:41:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.054/54.101/54.130/0.256 ms
14/07/01-12:43:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.046/54.081/54.188/0.214 ms
14/07/01-12:44:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.022/54.126/54.283/0.277 ms
14/07/01-12:46:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.041/54.082/54.143/0.151 ms
14/07/01-12:48:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.046/54.067/54.110/0.209 ms
14/07/01-12:50:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.029/54.833/57.920/1.564 ms
14/07/01-12:52:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.033/54.096/54.204/0.157 ms
14/07/01-12:53:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.043/54.062/54.092/0.208 ms
14/07/01-12:55:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.039/54.061/54.078/0.255 ms
14/07/01-12:57:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.033/54.079/54.144/0.039 ms
14/07/01-12:59:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.041/54.172/54.339/0.283 ms
14/07/01-13:00:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.028/54.076/54.166/0.155 ms
14/07/01-13:02:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.051/54.063/54.079/0.147 ms
14/07/01-13:04:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.053/54.407/55.223/0.530 ms
14/07/01-13:05:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.099/54.340/55.069/0.427 ms
14/07/01-13:07:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 54.093/54.138/54.232/0.156 ms
14/07/01-13:09:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.078/54.176/54.263/0.264 ms
14/07/01-13:10:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 54.096/54.233/54.616/0.243 ms
14/07/01-13:12:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 54.083/54.127/54.164/0.209 ms
14/07/01-13:14:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.090/54.130/54.186/0.296 ms
14/07/01-13:15:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 54.083/54.208/54.561/0.273 ms
14/07/01-13:17:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 54.098/54.130/54.177/0.256 ms
