14/07/01-10:58:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 125.124/125.148/125.178/0.317 ms
14/07/01-11:00:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 125.116/125.183/125.320/0.235 ms
14/07/01-11:01:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 125.154/125.241/125.325/0.230 ms
14/07/01-11:03:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 125.154/125.215/125.285/0.321 ms
14/07/01-11:05:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 125.078/125.248/125.449/0.264 ms
14/07/01-11:06:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 125.124/125.147/125.193/0.225 ms
14/07/01-11:08:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 125.168/125.178/125.190/0.316 ms
14/07/01-11:09:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 125.083/125.165/125.341/0.398 ms
14/07/01-11:11:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 125.090/125.134/125.186/0.448 ms
14/07/01-11:13:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 125.274/125.299/125.341/0.023 ms
14/07/01-11:14:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 125.123/125.215/125.290/0.451 ms
14/07/01-11:16:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 125.184/125.261/125.356/0.453 ms
14/07/01-11:18:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 125.059/125.184/125.294/0.398 ms
