14/07/01-10:57:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 60.464/61.102/61.970/0.594 ms
14/07/01-10:59:00 - 5 packets transmitted, 4 received, 20% packet loss, time 4005ms rtt min/avg/max/mdev = 60.462/60.630/61.012/0.282 ms
14/07/01-11:00:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 60.515/60.911/61.906/0.551 ms
14/07/01-11:02:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 61.057/61.619/62.322/0.521 ms
14/07/01-11:03:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 60.439/60.651/61.331/0.375 ms
14/07/01-11:05:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 60.577/60.749/60.902/0.334 ms
14/07/01-11:07:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 60.459/60.773/61.456/0.392 ms
14/07/01-11:08:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 60.502/60.879/61.316/0.397 ms
14/07/01-11:10:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 60.420/60.851/61.334/0.485 ms
14/07/01-11:12:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 60.434/60.811/61.539/0.466 ms
14/07/01-11:13:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 60.528/60.762/61.050/0.296 ms
14/07/01-11:15:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 60.393/60.537/60.822/0.346 ms
14/07/01-11:17:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 60.473/60.697/61.352/0.399 ms
