14/07/01-10:58:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.613/138.637/138.653/0.471 ms
14/07/01-11:00:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.523/138.613/138.665/0.241 ms
14/07/01-11:01:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 138.626/138.637/138.658/0.011 ms
14/07/01-11:03:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 138.600/138.615/138.649/0.471 ms
14/07/01-11:04:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.617/138.631/138.647/0.235 ms
14/07/01-11:06:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.517/138.589/138.667/0.243 ms
14/07/01-11:08:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.597/138.616/138.643/0.408 ms
14/07/01-11:09:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.618/138.636/138.658/0.408 ms
14/07/01-11:11:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 138.632/138.644/138.657/0.407 ms
14/07/01-11:13:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.543/138.637/138.691/0.241 ms
14/07/01-11:14:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.624/138.650/138.666/0.014 ms
14/07/01-11:16:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 138.641/138.655/138.690/0.408 ms
14/07/01-11:18:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.616/138.631/138.643/0.008 ms
14/07/01-11:19:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 138.616/138.628/138.643/0.333 ms
14/07/01-11:21:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.626/138.651/138.667/0.015 ms
14/07/01-11:22:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 138.612/138.628/138.651/0.333 ms
14/07/01-11:24:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.631/138.641/138.652/0.407 ms
14/07/01-11:26:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 138.503/138.515/138.521/0.235 ms
14/07/01-11:27:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 138.622/138.642/138.673/0.018 ms
14/07/01-11:29:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 138.617/138.640/138.662/0.408 ms
