14/07/01-10:58:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.222/102.247/102.289/0.023 ms
14/07/01-10:59:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.209/102.300/102.619/0.327 ms
14/07/01-11:01:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.223/102.233/102.253/0.202 ms
14/07/01-11:03:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.225/102.248/102.268/0.015 ms
14/07/01-11:04:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.249/102.270/102.313/0.405 ms
14/07/01-11:06:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.141/102.208/102.249/0.206 ms
14/07/01-11:08:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.185/102.216/102.244/0.350 ms
14/07/01-11:09:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.160/102.173/102.179/0.285 ms
14/07/01-11:11:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.169/102.191/102.215/0.202 ms
14/07/01-11:13:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.160/102.188/102.210/0.018 ms
14/07/01-11:14:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.179/102.193/102.207/0.010 ms
14/07/01-11:16:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.175/102.675/103.882/0.765 ms
14/07/01-11:17:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.238/102.258/102.286/0.350 ms
14/07/01-11:19:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.222/102.267/102.395/0.212 ms
14/07/01-11:21:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.224/102.339/102.701/0.271 ms
14/07/01-11:22:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.229/102.468/103.375/0.496 ms
14/07/01-11:24:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.246/102.254/102.262/0.202 ms
14/07/01-11:26:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.224/102.252/102.286/0.022 ms
14/07/01-11:27:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.217/102.263/102.341/0.406 ms
14/07/01-11:29:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.242/102.256/102.272/0.404 ms
14/07/01-11:31:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.207/102.216/102.226/0.286 ms
14/07/01-11:32:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.237/102.247/102.258/0.350 ms
14/07/01-11:34:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.203/102.268/102.349/0.353 ms
14/07/01-11:35:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.251/102.310/102.454/0.296 ms
14/07/01-11:37:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.161/102.197/102.307/0.408 ms
14/07/01-11:39:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.186/102.514/103.519/0.583 ms
14/07/01-11:40:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.194/102.237/102.276/0.405 ms
14/07/01-11:42:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.180/102.219/102.302/0.206 ms
14/07/01-11:44:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.176/102.197/102.224/0.286 ms
14/07/01-11:45:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.147/102.174/102.209/0.022 ms
14/07/01-11:47:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 102.140/102.175/102.215/0.027 ms
14/07/01-11:49:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.170/102.192/102.222/0.020 ms
14/07/01-11:50:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.225/102.504/103.431/0.464 ms
14/07/01-11:52:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.259/102.283/102.319/0.287 ms
14/07/01-11:54:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.232/102.248/102.261/0.286 ms
14/07/01-11:55:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.223/102.242/102.262/0.350 ms
14/07/01-11:57:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 102.214/102.246/102.266/0.286 ms
14/07/01-11:58:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.226/102.239/102.245/0.007 ms
14/07/01-12:00:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.221/102.409/103.060/0.519 ms
14/07/01-12:02:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.214/102.245/102.279/0.024 ms
14/07/01-12:04:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.235/102.255/102.279/0.202 ms
14/07/01-12:06:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.225/102.493/103.418/0.544 ms
14/07/01-12:07:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.223/102.240/102.261/0.202 ms
14/07/01-12:09:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.232/102.260/102.293/0.286 ms
14/07/01-12:11:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.230/102.404/102.920/0.480 ms
14/07/01-12:13:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.241/102.287/102.387/0.354 ms
14/07/01-12:14:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.241/102.252/102.278/0.286 ms
14/07/01-12:16:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.226/102.232/102.251/0.404 ms
14/07/01-12:18:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.240/102.258/102.280/0.286 ms
14/07/01-12:20:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 102.220/102.242/102.259/0.014 ms
14/07/01-12:22:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.227/102.254/102.283/0.404 ms
14/07/01-12:24:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.213/102.248/102.293/0.287 ms
14/07/01-12:25:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 102.216/102.246/102.258/0.286 ms
14/07/01-12:27:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.232/102.259/102.292/0.203 ms
14/07/01-12:29:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.244/102.262/102.294/0.203 ms
14/07/01-12:31:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.128/102.432/103.459/0.622 ms
14/07/01-12:33:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.135/102.158/102.181/0.202 ms
14/07/01-12:34:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.148/102.171/102.196/0.016 ms
14/07/01-12:36:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.170/102.186/102.220/0.350 ms
14/07/01-12:38:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.184/102.248/102.414/0.297 ms
14/07/01-12:40:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 102.232/102.276/102.350/0.407 ms
14/07/01-12:42:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.254/102.269/102.284/0.010 ms
14/07/01-12:43:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.216/102.239/102.288/0.405 ms
14/07/01-12:45:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.235/102.260/102.298/0.024 ms
14/07/01-12:47:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.227/102.266/102.331/0.406 ms
14/07/01-12:49:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.217/102.249/102.289/0.203 ms
14/07/01-12:51:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.225/102.249/102.291/0.286 ms
14/07/01-12:52:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.222/102.246/102.271/0.202 ms
14/07/01-12:54:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.244/102.284/102.317/0.025 ms
14/07/01-12:56:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 102.225/102.460/103.208/0.471 ms
14/07/01-12:58:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.186/102.203/102.251/0.024 ms
14/07/01-13:00:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.159/102.415/103.209/0.490 ms
14/07/01-13:01:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.159/102.189/102.238/0.028 ms
14/07/01-13:03:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.144/102.170/102.197/0.350 ms
14/07/01-13:05:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.175/102.477/103.632/0.705 ms
14/07/01-13:06:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 102.210/103.056/103.599/0.567 ms
14/07/01-13:08:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.153/102.182/102.232/0.204 ms
14/07/01-13:09:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.135/102.161/102.210/0.026 ms
14/07/01-13:11:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.153/102.366/103.118/0.552 ms
14/07/01-13:13:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.167/102.448/103.399/0.624 ms
14/07/01-13:14:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 102.156/102.190/102.247/0.031 ms
14/07/01-13:16:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.222/102.252/102.320/0.405 ms
14/07/01-13:18:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.228/102.253/102.275/0.350 ms
14/07/01-13:19:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.226/102.254/102.300/0.287 ms
14/07/01-13:21:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.198/102.253/102.278/0.204 ms
14/07/01-13:23:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 102.185/102.222/102.258/0.287 ms
14/07/01-13:24:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.166/102.201/102.287/0.206 ms
14/07/01-13:26:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.120/102.174/102.233/0.288 ms
14/07/01-13:27:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.170/102.196/102.220/0.016 ms
14/07/01-13:29:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 102.165/102.232/102.342/0.355 ms
14/07/01-13:31:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 102.163/102.347/103.065/0.359 ms
14/07/01-13:32:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.128/102.261/102.647/0.280 ms
14/07/01-13:34:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.152/102.255/102.430/0.364 ms
14/07/01-13:36:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 102.180/102.203/102.235/0.286 ms
14/07/01-13:37:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 102.163/102.431/103.438/0.503 ms
