14/07/01-10:57:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 337.515/337.829/338.216/0.469 ms
14/07/01-10:59:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 337.520/337.632/337.968/0.168 ms
14/07/01-11:01:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.561/337.929/338.288/0.593 ms
14/07/01-11:02:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.507/338.064/338.928/0.502 ms
14/07/01-11:04:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.610/337.731/337.919/0.644 ms
14/07/01-11:05:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.554/338.014/338.529/0.626 ms
14/07/01-11:07:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 337.537/337.640/337.809/0.381 ms
14/07/01-11:09:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.620/337.832/338.268/0.235 ms
14/07/01-11:10:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.880/339.942/341.656/1.347 ms
14/07/01-11:12:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.874/339.241/339.774/0.810 ms
14/07/01-11:14:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 338.768/339.005/339.570/0.286 ms
14/07/01-11:15:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 338.656/339.064/340.338/0.829 ms
14/07/01-11:17:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.603/338.832/339.331/0.587 ms
14/07/01-11:19:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.642/339.044/339.661/0.624 ms
14/07/01-11:20:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 338.658/338.800/339.183/0.416 ms
14/07/01-11:22:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.802/339.012/339.588/0.297 ms
14/07/01-11:24:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 337.568/337.738/338.268/0.585 ms
14/07/01-11:25:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.529/337.687/337.979/0.752 ms
14/07/01-11:27:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.643/338.912/339.463/0.305 ms
14/07/01-11:28:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.670/339.039/339.632/0.319 ms
14/07/01-11:30:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 338.689/338.999/339.456/0.786 ms
14/07/01-11:32:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 338.619/338.927/339.241/0.563 ms
14/07/01-11:33:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.627/339.132/340.008/0.626 ms
14/07/01-11:35:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 338.886/339.153/339.648/0.584 ms
14/07/01-11:37:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 338.884/338.963/339.243/0.749 ms
14/07/01-11:38:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 338.870/339.431/340.013/0.552 ms
14/07/01-11:40:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 266.469/266.520/266.659/0.070 ms
14/07/01-11:42:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 266.443/266.471/266.497/0.021 ms
14/07/01-11:43:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 266.434/266.510/266.673/0.083 ms
14/07/01-11:45:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 266.447/266.553/266.665/0.572 ms
14/07/01-11:46:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.112/265.166/265.210/0.035 ms
14/07/01-11:48:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 266.380/266.488/266.689/0.575 ms
14/07/01-11:50:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 266.424/266.524/266.636/0.572 ms
14/07/01-11:51:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 266.404/266.421/266.454/0.326 ms
14/07/01-11:53:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 266.434/266.462/266.494/0.327 ms
