14/07/01-09:41:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 80.188/80.317/80.472/0.371 ms
14/07/01-09:43:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 81.045/81.154/81.222/0.191 ms
14/07/01-09:45:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 80.208/80.320/80.448/0.087 ms
14/07/01-09:47:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 81.154/81.480/82.287/0.410 ms
14/07/01-09:48:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 81.090/81.216/81.388/0.097 ms
14/07/01-09:50:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 80.287/80.401/80.556/0.275 ms
14/07/01-09:52:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 80.198/80.337/80.467/0.324 ms
14/07/01-09:53:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 80.089/80.290/80.499/0.302 ms
14/07/01-09:55:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 81.083/81.195/81.263/0.366 ms
14/07/01-09:57:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 80.089/80.310/80.501/0.301 ms
14/07/01-09:58:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 81.046/81.157/81.200/0.189 ms
14/07/01-10:00:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 81.219/81.379/81.540/0.337 ms
14/07/01-10:02:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 81.125/81.221/81.388/0.206 ms
14/07/01-10:03:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 80.215/80.323/80.472/0.202 ms
14/07/01-10:05:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 80.154/80.296/80.471/0.215 ms
14/07/01-10:07:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4008ms rtt min/avg/max/mdev = 80.087/80.272/80.406/0.379 ms
14/07/01-10:08:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 80.217/80.385/80.605/0.135 ms
14/07/01-10:10:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.109/81.235/81.370/0.328 ms
14/07/01-10:12:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 80.351/80.614/81.357/0.451 ms
14/07/01-10:13:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 80.087/80.383/80.614/0.354 ms
14/07/01-10:15:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 80.193/80.370/80.589/0.393 ms
14/07/01-10:17:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.066/81.583/82.834/0.638 ms
14/07/01-10:18:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.156/81.238/81.308/0.053 ms
14/07/01-10:20:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.066/81.287/81.449/0.124 ms
14/07/01-10:22:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 80.194/80.298/80.421/0.325 ms
