14/07/01-09:42:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.101/144.475/146.645/1.695 ms
14/07/01-09:43:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.140/144.590/146.640/1.533 ms
14/07/01-09:45:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 144.138/146.138/147.129/1.039 ms
14/07/01-09:47:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.162/145.075/146.446/1.507 ms
14/07/01-09:48:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 143.149/145.224/146.697/1.657 ms
14/07/01-09:50:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.113/145.189/146.643/1.656 ms
14/07/01-09:52:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.133/145.843/146.754/1.370 ms
14/07/01-09:53:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 143.102/145.388/147.353/1.895 ms
14/07/01-09:55:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.159/145.287/146.733/1.731 ms
14/07/01-09:57:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.121/144.567/146.686/1.653 ms
14/07/01-09:58:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 146.198/146.607/146.812/0.326 ms
14/07/01-10:00:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.094/145.807/146.786/1.371 ms
14/07/01-10:02:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.135/144.640/147.291/1.861 ms
14/07/01-10:03:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.156/145.876/146.689/1.446 ms
14/07/01-10:05:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 143.184/145.740/146.687/1.354 ms
14/07/01-10:07:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.299/145.235/146.804/1.557 ms
14/07/01-10:08:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.132/143.851/146.541/1.387 ms
14/07/01-10:10:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.173/144.530/146.605/1.589 ms
14/07/01-10:12:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.546/145.822/146.669/1.221 ms
14/07/01-10:13:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 143.426/145.814/149.548/2.296 ms
14/07/01-10:15:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.153/145.202/146.736/1.673 ms
14/07/01-10:17:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.262/146.573/147.408/0.611 ms
14/07/01-10:18:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.119/144.774/146.914/1.747 ms
14/07/01-10:20:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.246/146.576/146.863/0.420 ms
14/07/01-10:22:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 143.104/144.468/146.548/1.619 ms
14/07/01-10:23:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.081/144.999/146.273/1.528 ms
14/07/01-10:25:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.126/145.178/146.710/1.682 ms
14/07/01-10:27:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.117/145.794/146.629/1.368 ms
14/07/01-10:28:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.146/143.953/146.646/1.432 ms
14/07/01-10:30:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.114/145.296/146.917/1.804 ms
14/07/01-10:32:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 143.135/145.215/146.708/1.720 ms
14/07/01-10:34:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.173/146.458/146.880/0.361 ms
14/07/01-10:35:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 144.694/147.314/149.557/1.615 ms
14/07/01-10:37:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 143.160/145.854/146.751/1.401 ms
