14/07/01-09:41:30 - 5 packets transmitted, 4 received, 20% packet loss, time 4008ms rtt min/avg/max/mdev = 344.085/344.466/345.020/0.545 ms
14/07/01-09:43:13 - 5 packets transmitted, 4 received, 20% packet loss, time 4004ms rtt min/avg/max/mdev = 342.117/342.893/343.740/0.919 ms
14/07/01-09:44:55 - 5 packets transmitted, 4 received, 20% packet loss, time 4007ms rtt min/avg/max/mdev = 342.134/343.433/344.629/1.061 ms
14/07/01-09:46:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 342.117/342.475/343.417/0.801 ms
14/07/01-09:48:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4009ms rtt min/avg/max/mdev = 342.171/342.394/342.566/0.545 ms
14/07/01-09:49:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 334.058/334.101/334.149/0.732 ms
14/07/01-09:51:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 334.132/334.191/334.297/0.520 ms
14/07/01-09:53:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 334.094/334.166/334.311/0.637 ms
14/07/01-09:54:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 334.063/334.115/334.161/0.731 ms
14/07/01-09:56:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 334.120/334.163/334.217/0.634 ms
14/07/01-09:58:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 341.998/342.172/342.600/0.216 ms
14/07/01-09:59:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 342.103/342.529/343.309/0.592 ms
14/07/01-10:01:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 342.077/343.037/344.091/1.010 ms
14/07/01-10:03:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.070/342.350/342.710/0.232 ms
14/07/01-10:04:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.032/342.615/343.553/0.852 ms
14/07/01-10:06:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.088/342.869/343.840/0.564 ms
14/07/01-10:08:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 342.108/342.748/343.899/0.752 ms
14/07/01-10:10:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 342.135/342.698/343.308/0.643 ms
14/07/01-10:11:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.097/342.720/343.747/0.675 ms
14/07/01-10:13:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 342.133/342.764/344.095/1.030 ms
14/07/01-10:15:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.030/342.765/344.369/0.845 ms
14/07/01-10:16:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.134/342.266/342.445/0.656 ms
14/07/01-10:18:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.046/342.680/344.483/0.924 ms
14/07/01-10:20:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 342.079/342.458/342.871/0.292 ms
14/07/01-10:21:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 342.131/342.595/343.588/0.520 ms
14/07/01-10:23:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 342.116/342.592/343.214/0.790 ms
14/07/01-10:25:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 342.056/342.409/343.300/0.697 ms
14/07/01-10:26:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 342.043/342.135/342.289/0.084 ms
14/07/01-10:28:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 342.122/342.719/344.316/0.897 ms
14/07/01-10:30:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 342.069/342.500/343.235/0.473 ms
14/07/01-10:31:42 - 5 packets transmitted, 4 received, 20% packet loss, time 3999ms rtt min/avg/max/mdev = 342.101/342.717/343.922/0.825 ms
14/07/01-10:33:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.038/342.622/343.344/0.857 ms
14/07/01-10:35:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.048/343.057/344.561/1.258 ms
14/07/01-10:36:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 342.084/342.669/344.795/1.241 ms
14/07/01-10:38:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 342.234/342.857/343.398/0.428 ms
14/07/01-10:40:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 342.094/342.732/344.685/1.179 ms
14/07/01-10:41:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 342.090/342.171/342.278/0.526 ms
14/07/01-10:43:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 342.133/342.396/342.986/0.609 ms
14/07/01-10:45:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 334.045/334.134/334.345/0.528 ms
14/07/01-10:46:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 334.123/334.171/334.218/0.039 ms
14/07/01-10:48:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 334.147/334.168/334.194/0.731 ms
14/07/01-10:50:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 334.122/334.137/334.170/0.517 ms
14/07/01-10:51:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 334.082/334.134/334.185/0.731 ms
14/07/01-10:53:27 - 5 packets transmitted, 4 received, 20% packet loss, time 4008ms rtt min/avg/max/mdev = 335.374/335.427/335.529/0.711 ms
14/07/01-10:55:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 338.614/338.649/338.693/0.028 ms
14/07/01-10:56:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.563/338.637/338.793/0.527 ms
14/07/01-10:58:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 338.568/338.618/338.681/0.638 ms
14/07/01-11:00:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 339.865/339.940/339.999/0.371 ms
14/07/01-11:01:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 339.816/339.855/339.917/0.370 ms
14/07/01-11:03:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 339.847/339.884/339.930/0.369 ms
14/07/01-11:05:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 339.815/339.874/339.899/0.369 ms
14/07/01-11:06:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 338.644/338.669/338.707/0.637 ms
14/07/01-11:08:32 - 5 packets transmitted, 3 received, 40% packet loss, time 4003ms rtt min/avg/max/mdev = 339.817/339.942/340.130/0.135 ms
14/07/01-11:10:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 338.617/338.638/338.699/0.521 ms
14/07/01-11:11:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.585/338.601/338.617/0.736 ms
14/07/01-11:13:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.527/338.608/338.647/0.041 ms
14/07/01-11:15:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 338.632/338.671/338.733/0.638 ms
