14/07/01-09:41:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.986/367.430/370.045/1.986 ms
14/07/01-09:43:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.953/365.663/367.549/2.169 ms
14/07/01-09:44:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 342.743/345.527/350.514/2.675 ms
14/07/01-09:46:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 344.536/345.789/350.318/2.326 ms
14/07/01-09:48:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 342.375/344.531/346.303/1.457 ms
14/07/01-09:49:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 339.321/341.720/343.782/2.042 ms
14/07/01-09:51:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 340.967/342.026/343.133/0.941 ms
14/07/01-09:53:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 340.572/342.742/345.358/1.684 ms
14/07/01-09:54:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 340.920/343.578/348.105/3.066 ms
14/07/01-09:56:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 343.217/346.239/347.655/1.709 ms
14/07/01-09:58:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 344.745/346.356/349.523/1.801 ms
14/07/01-09:59:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 345.675/346.386/347.674/0.922 ms
14/07/01-10:01:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 339.935/342.205/346.029/2.093 ms
14/07/01-10:03:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 340.961/342.688/344.801/1.469 ms
14/07/01-10:04:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 343.042/344.388/346.308/1.328 ms
14/07/01-10:06:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 338.333/341.278/342.732/1.641 ms
14/07/01-10:08:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 338.823/341.608/346.501/2.681 ms
14/07/01-10:09:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 343.191/346.546/351.469/2.860 ms
14/07/01-10:11:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.336/341.789/344.844/2.634 ms
14/07/01-10:13:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 345.803/347.105/349.197/1.307 ms
14/07/01-10:14:50 - 5 packets transmitted, 4 received, 20% packet loss, time 4000ms rtt min/avg/max/mdev = 276.403/276.682/277.007/0.680 ms
14/07/01-10:16:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.281/275.770/276.374/0.596 ms
14/07/01-10:18:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 274.971/275.747/276.453/0.754 ms
14/07/01-10:19:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 271.015/271.565/272.507/0.697 ms
14/07/01-10:21:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 271.301/271.673/272.354/0.768 ms
14/07/01-10:23:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.177/275.694/276.309/0.594 ms
14/07/01-10:24:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 275.036/275.916/277.667/1.086 ms
14/07/01-10:26:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 274.950/275.059/275.211/0.483 ms
14/07/01-10:28:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 275.533/276.036/276.959/0.659 ms
14/07/01-10:29:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 271.281/271.821/272.697/0.832 ms
14/07/01-10:31:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 271.350/271.873/273.409/0.843 ms
14/07/01-10:33:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 271.449/271.730/272.154/0.617 ms
14/07/01-10:34:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 271.295/272.433/273.966/1.153 ms
14/07/01-10:36:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 271.305/271.707/272.358/0.683 ms
14/07/01-10:38:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.318/271.449/271.746/0.151 ms
14/07/01-10:39:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.352/271.746/272.384/0.743 ms
14/07/01-10:41:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.274/362.497/363.747/1.280 ms
14/07/01-10:43:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 360.567/362.629/365.054/1.759 ms
14/07/01-10:44:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.565/353.871/354.415/0.613 ms
14/07/01-10:46:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.242/353.435/353.789/0.683 ms
14/07/01-10:48:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.197/353.318/353.510/0.761 ms
14/07/01-10:49:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 353.255/353.808/354.742/0.716 ms
14/07/01-10:51:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 353.887/355.150/357.763/1.495 ms
14/07/01-10:53:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 360.450/362.893/366.415/2.055 ms
14/07/01-10:54:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 354.722/358.016/364.311/3.295 ms
14/07/01-10:56:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.518/353.643/353.823/0.758 ms
14/07/01-10:58:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.542/354.013/355.601/1.094 ms
14/07/01-10:59:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.592/355.299/356.708/1.202 ms
14/07/01-11:01:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 354.284/355.660/356.843/1.165 ms
14/07/01-11:03:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 354.321/355.355/356.626/0.948 ms
14/07/01-11:04:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 361.309/365.452/372.618/4.014 ms
14/07/01-11:06:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 356.612/358.761/362.155/2.228 ms
14/07/01-11:08:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 356.362/356.463/356.563/0.759 ms
14/07/01-11:10:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 356.508/356.781/357.012/0.676 ms
14/07/01-11:11:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 356.460/357.480/360.892/1.791 ms
14/07/01-11:13:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 358.107/361.464/364.923/2.493 ms
14/07/01-11:15:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 360.726/365.318/368.533/3.075 ms
14/07/01-11:16:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 359.664/362.340/364.314/1.685 ms
14/07/01-11:18:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 272.406/273.041/273.832/0.698 ms
14/07/01-11:20:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 272.517/272.983/273.941/0.625 ms
14/07/01-11:21:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 272.527/273.083/273.849/0.659 ms
14/07/01-11:23:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 272.683/273.062/273.398/0.270 ms
14/07/01-11:25:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 272.585/273.190/274.428/0.952 ms
14/07/01-11:26:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 272.524/272.709/273.010/0.599 ms
14/07/01-11:28:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 272.585/273.264/273.619/0.364 ms
14/07/01-11:30:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 273.206/273.415/273.844/0.698 ms
14/07/01-11:31:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 271.494/271.772/272.406/0.466 ms
14/07/01-11:33:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 276.127/276.344/276.506/0.682 ms
14/07/01-11:35:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 276.297/277.096/277.748/0.879 ms
14/07/01-11:36:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 357.607/357.944/358.667/0.656 ms
14/07/01-11:38:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 357.312/358.287/360.686/1.242 ms
14/07/01-11:40:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 357.581/358.433/359.075/1.019 ms
14/07/01-11:41:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 357.777/358.537/359.392/0.740 ms
