14/07/01-09:42:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 255.436/256.785/257.748/0.810 ms
14/07/01-09:44:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 254.423/255.155/255.786/0.724 ms
14/07/01-09:45:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 232.705/232.834/233.141/0.159 ms
14/07/01-09:47:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 232.705/233.013/233.631/0.693 ms
14/07/01-09:49:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 232.615/232.864/233.136/0.215 ms
14/07/01-09:50:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 232.621/232.829/233.042/0.339 ms
14/07/01-09:52:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 232.733/232.906/233.332/0.490 ms
14/07/01-09:54:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 232.640/232.893/233.627/0.568 ms
14/07/01-09:55:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 232.652/232.814/233.080/0.552 ms
14/07/01-09:57:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.630/232.786/232.918/0.323 ms
14/07/01-09:59:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 232.619/232.742/233.006/0.135 ms
14/07/01-10:00:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 232.667/232.798/232.927/0.444 ms
14/07/01-10:02:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.683/232.886/233.121/0.633 ms
14/07/01-10:04:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 232.696/232.952/233.242/0.572 ms
14/07/01-10:05:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 232.636/232.795/232.917/0.443 ms
14/07/01-10:07:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 232.697/232.959/233.384/0.675 ms
14/07/01-10:09:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 232.685/232.824/232.938/0.616 ms
