14/07/01-09:41:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 279.078/279.132/279.226/0.337 ms
14/07/01-09:43:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.074/279.132/279.207/0.670 ms
14/07/01-09:45:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 279.097/279.194/279.411/0.486 ms
14/07/01-09:46:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.114/279.165/279.238/0.670 ms
14/07/01-09:48:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.068/279.123/279.178/0.040 ms
14/07/01-09:50:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.114/279.243/279.450/0.679 ms
14/07/01-09:51:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.089/279.112/279.129/0.668 ms
14/07/01-09:53:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.036/279.347/279.852/0.483 ms
14/07/01-09:55:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.088/279.138/279.215/0.337 ms
14/07/01-09:56:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.039/279.097/279.132/0.036 ms
14/07/01-09:58:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 279.042/279.085/279.154/0.473 ms
14/07/01-10:00:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 279.078/279.512/280.974/0.934 ms
14/07/01-10:01:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.065/279.128/279.184/0.580 ms
14/07/01-10:03:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.032/279.112/279.283/0.673 ms
14/07/01-10:05:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 279.116/279.150/279.181/0.473 ms
14/07/01-10:06:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 279.132/279.158/279.201/0.473 ms
14/07/01-10:08:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 279.068/280.696/286.841/3.127 ms
14/07/01-10:10:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.032/279.119/279.213/0.581 ms
14/07/01-10:11:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.034/279.534/280.193/0.856 ms
14/07/01-10:13:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.101/279.161/279.208/0.579 ms
14/07/01-10:15:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.055/279.129/279.193/0.581 ms
14/07/01-10:16:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 279.080/279.125/279.268/0.583 ms
14/07/01-10:18:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 279.085/279.147/279.260/0.060 ms
14/07/01-10:20:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.148/279.182/279.222/0.473 ms
14/07/01-10:21:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.044/279.105/279.193/0.339 ms
14/07/01-10:23:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.076/279.116/279.146/0.579 ms
14/07/01-10:25:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.072/279.159/279.387/0.678 ms
14/07/01-10:26:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 279.080/279.156/279.283/0.477 ms
14/07/01-10:28:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.086/279.154/279.250/0.338 ms
14/07/01-10:30:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.055/279.537/281.302/1.001 ms
14/07/01-10:31:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 279.132/279.152/279.177/0.016 ms
14/07/01-10:33:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 279.147/279.297/279.783/0.531 ms
14/07/01-10:35:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 279.113/279.160/279.201/0.473 ms
14/07/01-10:36:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.071/279.100/279.135/0.335 ms
