14/07/01-09:42:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 80.036/83.501/85.614/2.230 ms
14/07/01-09:44:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 87.294/90.213/94.720/2.574 ms
14/07/01-09:45:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 84.590/92.930/108.650/8.327 ms
14/07/01-09:47:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.552/93.060/98.947/5.983 ms
14/07/01-09:49:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 82.841/85.868/91.046/2.980 ms
14/07/01-09:50:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 93.793/107.547/124.111/10.206 ms
14/07/01-09:52:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 90.553/93.142/95.170/1.848 ms
14/07/01-09:54:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 88.773/93.604/103.142/5.346 ms
14/07/01-09:55:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 86.593/94.343/103.332/5.346 ms
14/07/01-09:57:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 84.808/92.796/100.011/5.070 ms
14/07/01-09:59:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 86.232/89.590/93.328/2.404 ms
14/07/01-10:00:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 88.455/94.079/102.688/6.175 ms
14/07/01-10:02:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 82.934/87.472/90.653/3.049 ms
14/07/01-10:04:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.623/98.716/107.432/6.549 ms
14/07/01-10:05:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 87.956/92.116/94.904/2.409 ms
14/07/01-10:07:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 87.218/91.779/98.152/3.867 ms
14/07/01-10:09:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 93.638/98.396/105.026/3.972 ms
14/07/01-10:10:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 104.636/115.584/130.761/9.332 ms
14/07/01-10:12:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 140.601/173.209/190.337/17.853 ms
14/07/01-10:14:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 112.739/122.216/132.626/7.772 ms
14/07/01-10:15:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 80.181/88.068/96.574/5.227 ms
14/07/01-10:17:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 84.615/100.307/110.976/9.333 ms
14/07/01-10:19:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 98.432/109.891/121.680/8.566 ms
14/07/01-10:20:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 113.128/119.683/133.323/7.119 ms
14/07/01-10:22:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 104.382/126.837/137.280/12.906 ms
14/07/01-10:24:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 91.562/100.059/106.359/5.779 ms
14/07/01-10:25:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.406/87.170/97.833/5.408 ms
14/07/01-10:27:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.657/99.446/113.424/10.761 ms
14/07/01-10:29:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 79.691/85.218/89.634/3.208 ms
14/07/01-10:30:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 81.206/82.338/84.672/1.289 ms
14/07/01-10:32:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 88.059/94.378/102.150/4.789 ms
14/07/01-10:34:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 94.653/115.722/125.201/11.330 ms
14/07/01-10:35:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 81.576/89.222/100.922/6.488 ms
14/07/01-10:37:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 79.694/82.881/87.706/3.474 ms
14/07/01-10:39:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 79.728/86.168/93.979/5.039 ms
14/07/01-10:40:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 79.834/83.480/88.808/3.503 ms
14/07/01-10:42:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 86.173/92.283/101.864/5.558 ms
14/07/01-10:44:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 82.730/92.095/100.740/6.588 ms
14/07/01-10:45:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 80.035/80.506/81.348/0.512 ms
14/07/01-10:47:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 84.435/87.336/91.007/2.145 ms
14/07/01-10:49:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 88.669/95.370/102.969/4.702 ms
14/07/01-10:50:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 89.218/101.148/111.084/7.245 ms
14/07/01-10:52:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 96.715/112.437/125.101/9.539 ms
14/07/01-10:54:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 95.040/106.300/119.751/9.902 ms
14/07/01-10:55:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.859/108.962/116.325/5.289 ms
14/07/01-10:57:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.265/109.123/116.650/5.084 ms
14/07/01-10:59:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 83.602/92.062/107.829/8.742 ms
14/07/01-11:00:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 84.724/88.583/91.503/2.565 ms
14/07/01-11:02:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 82.599/88.670/94.567/4.048 ms
14/07/01-11:04:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 80.792/87.394/100.829/7.121 ms
14/07/01-11:05:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 118.883/130.407/141.049/8.922 ms
14/07/01-11:07:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.902/96.372/105.179/8.120 ms
14/07/01-11:09:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 80.996/94.417/118.923/13.167 ms
14/07/01-11:10:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.039/137.034/141.218/2.629 ms
14/07/01-11:12:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.731/96.682/104.330/4.352 ms
14/07/01-11:14:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 87.476/98.276/112.094/7.961 ms
14/07/01-11:16:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 89.212/97.980/110.940/9.172 ms
14/07/01-11:17:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 93.986/100.378/106.817/4.650 ms
14/07/01-11:19:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 82.671/98.059/129.024/17.616 ms
14/07/01-11:21:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.966/131.849/145.405/8.189 ms
