14/07/01-09:41:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.984/408.509/409.348/0.742 ms
14/07/01-09:43:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 408.569/409.327/409.904/0.595 ms
14/07/01-09:45:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 407.184/407.607/407.987/0.769 ms
14/07/01-09:46:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.480/408.702/409.668/1.076 ms
14/07/01-09:48:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.129/407.342/407.746/0.843 ms
14/07/01-09:50:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 407.061/407.379/408.096/0.547 ms
14/07/01-09:51:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.192/407.594/407.840/0.471 ms
14/07/01-09:53:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.029/407.405/408.065/0.885 ms
14/07/01-09:55:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 407.177/407.657/408.612/0.986 ms
14/07/01-09:56:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.129/407.789/408.837/0.893 ms
14/07/01-09:58:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 407.167/407.735/408.851/0.933 ms
14/07/01-10:00:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.228/408.048/408.993/0.695 ms
14/07/01-10:01:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.144/407.464/408.268/0.414 ms
14/07/01-10:03:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 407.225/407.635/408.275/0.891 ms
14/07/01-10:05:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.106/407.950/409.473/1.161 ms
14/07/01-10:06:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.232/407.422/407.591/0.585 ms
14/07/01-10:08:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 407.181/407.975/409.084/0.869 ms
14/07/01-10:10:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.198/408.299/410.048/1.344 ms
14/07/01-10:11:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 408.023/408.620/409.110/0.855 ms
14/07/01-10:13:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 407.153/407.454/407.978/0.500 ms
14/07/01-10:15:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 407.180/407.471/407.778/0.448 ms
14/07/01-10:16:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 407.541/407.794/408.420/0.870 ms
14/07/01-10:18:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 407.261/407.593/408.582/0.759 ms
14/07/01-10:20:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.279/407.743/408.629/0.942 ms
14/07/01-10:21:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.205/407.678/408.645/0.811 ms
14/07/01-10:23:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 407.202/407.952/409.237/1.125 ms
14/07/01-10:25:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.094/407.787/408.430/0.869 ms
14/07/01-10:26:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 407.263/407.688/408.714/0.874 ms
14/07/01-10:28:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 407.238/407.585/408.243/0.900 ms
14/07/01-10:30:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.103/407.490/408.430/0.744 ms
14/07/01-10:31:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 407.129/407.409/407.860/0.478 ms
14/07/01-10:33:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.069/407.549/408.570/0.884 ms
14/07/01-10:35:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.072/407.488/408.115/0.789 ms
14/07/01-10:36:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 407.263/408.013/409.479/0.863 ms
14/07/01-10:38:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.135/407.847/408.553/0.983 ms
14/07/01-10:40:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.198/407.767/408.627/0.773 ms
14/07/01-10:42:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.136/407.477/408.103/0.787 ms
14/07/01-10:43:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 407.104/407.457/408.419/0.632 ms
14/07/01-10:45:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.091/407.593/408.876/0.768 ms
14/07/01-10:47:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.146/407.629/408.673/0.593 ms
