14/07/01-09:42:13 - 5 packets transmitted, 4 received, 20% packet loss, time 4012ms rtt min/avg/max/mdev = 362.180/368.168/370.544/3.553 ms
14/07/01-09:43:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 364.162/366.595/369.579/2.230 ms
14/07/01-09:45:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.702/364.421/367.741/2.228 ms
14/07/01-09:47:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 362.003/364.471/368.274/2.451 ms
14/07/01-09:48:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.786/366.906/370.940/2.610 ms
14/07/01-09:50:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.477/364.714/368.080/2.685 ms
14/07/01-09:52:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.695/364.013/366.513/1.910 ms
14/07/01-09:53:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.694/365.915/368.108/2.063 ms
14/07/01-09:55:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 362.385/365.835/369.204/2.844 ms
14/07/01-09:57:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.849/365.915/368.989/2.555 ms
14/07/01-09:59:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 361.418/361.554/361.733/0.768 ms
14/07/01-10:00:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 361.710/363.911/366.406/2.137 ms
14/07/01-10:02:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 362.027/364.432/366.529/1.734 ms
14/07/01-10:04:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 361.495/364.674/367.203/2.130 ms
14/07/01-10:05:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 362.817/366.088/368.361/1.866 ms
14/07/01-10:07:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 361.493/364.658/368.618/2.694 ms
14/07/01-10:09:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 361.568/365.761/368.115/2.204 ms
14/07/01-10:10:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 361.530/363.815/367.729/2.405 ms
