14/07/01-09:42:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 480.332/481.349/482.332/0.804 ms
14/07/01-09:44:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 478.628/479.475/480.204/1.009 ms
14/07/01-09:45:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 478.220/479.624/481.189/1.533 ms
14/07/01-09:47:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 478.197/478.830/479.749/0.983 ms
14/07/01-09:49:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 478.309/479.029/479.419/0.398 ms
14/07/01-09:50:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 478.920/479.433/480.154/0.876 ms
14/07/01-09:52:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 478.906/479.301/480.172/0.633 ms
14/07/01-09:54:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 478.487/479.110/479.642/0.849 ms
14/07/01-09:55:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 478.676/479.490/479.981/1.049 ms
14/07/01-09:57:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 475.287/476.321/478.769/1.411 ms
14/07/01-09:59:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 474.895/475.728/477.230/0.962 ms
14/07/01-10:00:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 474.634/475.388/476.552/1.078 ms
14/07/01-10:02:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 479.935/480.462/481.867/0.974 ms
14/07/01-10:04:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 479.573/480.469/481.386/0.996 ms
14/07/01-10:05:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 479.765/480.693/481.727/0.794 ms
14/07/01-10:07:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 479.538/480.853/482.511/1.172 ms
14/07/01-10:09:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 479.461/480.301/481.862/1.254 ms
14/07/01-10:10:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 478.771/479.547/480.999/0.996 ms
14/07/01-10:12:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 479.948/481.248/483.080/1.093 ms
14/07/01-10:14:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 479.573/481.301/482.651/1.343 ms
14/07/01-10:15:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 474.891/475.521/475.824/0.701 ms
14/07/01-10:17:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 476.978/477.877/478.910/1.041 ms
14/07/01-10:19:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 474.775/475.694/477.086/0.794 ms
14/07/01-10:20:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 478.302/478.697/479.373/0.717 ms
14/07/01-10:22:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 478.745/480.405/481.442/0.966 ms
14/07/01-10:24:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 478.712/479.538/481.401/1.051 ms
14/07/01-10:25:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 478.690/480.077/480.949/1.112 ms
14/07/01-10:27:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 478.384/479.140/479.716/1.016 ms
14/07/01-10:29:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 475.036/475.358/476.435/0.928 ms
14/07/01-10:30:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 475.328/475.688/475.957/0.221 ms
14/07/01-10:32:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 474.925/475.653/476.684/0.750 ms
14/07/01-10:34:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 475.204/475.753/477.616/0.936 ms
14/07/01-10:35:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 474.464/474.999/476.429/1.132 ms
14/07/01-10:37:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 475.327/475.913/476.611/0.428 ms
14/07/01-10:39:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 475.483/475.913/476.721/0.972 ms
14/07/01-10:40:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 475.589/476.630/477.386/0.614 ms
14/07/01-10:42:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 475.504/476.023/476.387/0.528 ms
14/07/01-10:44:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 476.615/478.183/479.317/1.279 ms
14/07/01-10:45:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 476.182/476.580/477.426/0.985 ms
14/07/01-10:47:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 475.767/476.179/476.881/0.745 ms
14/07/01-10:49:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 475.396/476.855/480.965/2.213 ms
14/07/01-10:50:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 476.701/477.419/478.712/0.840 ms
14/07/01-10:52:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 475.708/477.101/477.890/1.076 ms
14/07/01-10:54:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 476.100/476.332/476.519/0.457 ms
14/07/01-10:56:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 478.625/478.954/479.208/0.196 ms
14/07/01-10:57:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 479.194/480.308/481.588/0.881 ms
14/07/01-10:59:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 478.631/478.884/479.105/0.468 ms
14/07/01-11:01:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 478.818/479.946/481.333/1.056 ms
14/07/01-11:02:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 475.133/475.450/475.879/0.328 ms
14/07/01-11:04:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 475.156/475.536/475.900/0.277 ms
14/07/01-11:06:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 474.832/475.381/475.932/0.842 ms
14/07/01-11:07:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 479.012/479.738/481.679/1.332 ms
14/07/01-11:09:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 478.361/478.739/479.089/0.660 ms
14/07/01-11:11:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 478.737/479.438/480.266/0.951 ms
14/07/01-11:12:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 478.727/480.128/483.654/1.918 ms
14/07/01-11:14:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 478.666/479.756/480.981/0.927 ms
14/07/01-11:16:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 478.825/480.422/482.352/1.765 ms
14/07/01-11:17:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 478.564/478.844/479.034/0.890 ms
14/07/01-11:19:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 479.352/480.474/482.016/1.083 ms
14/07/01-11:21:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 476.031/476.904/478.829/1.105 ms
14/07/01-11:22:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 476.172/476.655/478.050/1.031 ms
14/07/01-11:24:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 476.475/476.924/477.468/0.952 ms
14/07/01-11:26:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 476.131/476.512/477.317/0.865 ms
14/07/01-11:27:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 475.970/476.649/478.011/1.128 ms
14/07/01-11:29:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 476.874/477.416/478.187/0.453 ms
14/07/01-11:31:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 479.519/480.129/480.753/0.404 ms
14/07/01-11:32:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 479.314/480.077/481.057/1.102 ms
