14/07/01-09:41:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 210.220/210.235/210.262/0.014 ms
14/07/01-09:43:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 205.749/208.439/210.245/2.230 ms
14/07/01-09:45:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.721/208.469/210.307/2.237 ms
14/07/01-09:46:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.735/209.375/210.462/1.890 ms
14/07/01-09:48:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.756/209.342/210.263/1.839 ms
14/07/01-09:50:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.774/209.358/210.275/1.883 ms
14/07/01-09:51:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.772/209.393/210.470/1.835 ms
14/07/01-09:53:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 210.171/210.420/211.246/0.650 ms
14/07/01-09:55:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 210.237/210.288/210.344/0.581 ms
14/07/01-09:56:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 205.749/209.339/210.260/1.818 ms
14/07/01-09:58:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 205.734/208.557/210.649/2.359 ms
14/07/01-10:00:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.800/209.443/210.444/1.822 ms
14/07/01-10:02:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 205.732/209.380/210.379/1.824 ms
14/07/01-10:03:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 205.727/209.314/210.227/1.793 ms
14/07/01-10:05:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.774/209.352/210.325/1.812 ms
14/07/01-10:07:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.775/209.355/210.282/1.881 ms
14/07/01-10:08:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 205.731/209.335/210.273/1.870 ms
14/07/01-10:10:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 205.728/207.561/210.217/2.202 ms
14/07/01-10:12:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.748/209.398/210.626/1.832 ms
14/07/01-10:13:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 206.236/209.480/210.338/1.698 ms
14/07/01-10:15:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.778/209.326/210.221/1.843 ms
14/07/01-10:17:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 205.724/207.558/210.262/2.206 ms
14/07/01-10:18:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 210.223/210.519/211.625/0.801 ms
14/07/01-10:20:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 205.791/209.378/210.384/1.794 ms
14/07/01-10:22:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 205.771/208.492/210.313/2.269 ms
14/07/01-10:23:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 205.717/209.315/210.232/1.822 ms
14/07/01-10:25:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.572/219.847/221.295/1.824 ms
14/07/01-10:27:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 220.057/220.553/221.493/0.681 ms
14/07/01-10:28:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.170/220.469/221.318/1.202 ms
14/07/01-10:30:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.707/218.772/221.072/2.127 ms
14/07/01-10:32:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 215.867/219.146/220.885/2.001 ms
14/07/01-10:33:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 215.590/219.568/221.534/2.074 ms
14/07/01-10:35:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 220.314/220.671/221.101/0.598 ms
14/07/01-10:37:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.513/219.959/221.596/1.815 ms
14/07/01-10:38:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.585/219.565/221.292/2.058 ms
14/07/01-10:40:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 217.070/220.099/221.799/1.728 ms
14/07/01-10:42:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.938/219.862/221.127/1.537 ms
