14/07/01-09:42:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.099/194.535/195.779/0.799 ms
14/07/01-09:44:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.299/198.016/212.534/7.275 ms
14/07/01-09:46:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.063/194.653/196.358/0.943 ms
14/07/01-09:47:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.400/195.890/197.341/1.123 ms
14/07/01-09:49:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.143/194.564/195.582/0.665 ms
14/07/01-09:51:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.212/195.079/196.393/0.868 ms
14/07/01-09:52:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.108/195.173/198.824/1.828 ms
14/07/01-09:54:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 194.288/194.985/197.091/1.063 ms
14/07/01-09:56:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.248/197.276/207.521/5.165 ms
14/07/01-09:57:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.181/194.716/196.016/0.868 ms
14/07/01-09:59:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.311/195.035/196.630/1.021 ms
14/07/01-10:01:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.466/195.931/200.837/2.511 ms
14/07/01-10:02:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.093/195.116/198.067/1.485 ms
14/07/01-10:04:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.281/194.680/195.252/0.426 ms
14/07/01-10:06:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.124/194.915/195.959/0.792 ms
14/07/01-10:07:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.182/195.477/199.633/2.169 ms
14/07/01-10:09:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.217/194.509/194.780/0.355 ms
