14/07/01-09:41:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 286.152/286.735/287.831/0.962 ms
14/07/01-09:43:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.232/286.271/286.864/0.855 ms
14/07/01-09:45:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 286.142/287.275/291.317/2.134 ms
14/07/01-09:46:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.444/286.061/286.686/0.598 ms
14/07/01-09:48:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.670/286.196/286.639/0.682 ms
14/07/01-09:50:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 285.098/285.481/286.157/0.621 ms
14/07/01-09:51:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 286.249/286.872/287.451/0.679 ms
14/07/01-09:53:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 286.150/286.707/287.423/0.828 ms
14/07/01-09:55:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 286.109/287.322/291.700/2.293 ms
14/07/01-09:56:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.481/286.144/286.634/0.379 ms
14/07/01-09:58:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 285.773/286.605/287.945/1.041 ms
14/07/01-10:00:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.222/286.025/287.975/1.230 ms
14/07/01-10:01:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 285.469/286.178/286.891/0.729 ms
14/07/01-10:03:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 285.244/285.774/286.422/0.732 ms
14/07/01-10:05:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 285.549/286.253/286.951/0.873 ms
14/07/01-10:06:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 285.153/286.004/286.706/0.613 ms
