14/07/01-09:42:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 216.623/216.676/216.755/0.046 ms
14/07/01-09:44:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 216.656/216.679/216.712/0.589 ms
14/07/01-09:46:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 216.639/216.696/216.846/0.593 ms
14/07/01-09:47:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.649/216.686/216.732/0.417 ms
14/07/01-09:49:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 237.350/237.628/238.323/0.711 ms
14/07/01-09:51:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 237.312/237.618/238.622/0.796 ms
14/07/01-09:52:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 237.304/237.979/240.069/1.094 ms
14/07/01-09:54:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 237.575/237.861/238.317/0.282 ms
14/07/01-09:56:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 237.207/237.580/238.197/0.736 ms
14/07/01-09:57:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 237.342/238.235/239.668/1.168 ms
14/07/01-09:59:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 238.019/238.662/239.906/0.776 ms
14/07/01-10:01:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 237.415/237.969/239.421/0.915 ms
14/07/01-10:02:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 237.582/237.980/238.477/0.425 ms
14/07/01-10:04:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 237.323/237.545/237.827/0.179 ms
14/07/01-10:06:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 237.479/238.007/238.839/0.716 ms
14/07/01-10:07:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 237.374/238.019/238.733/0.818 ms
14/07/01-10:09:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 237.343/238.163/238.973/0.893 ms
14/07/01-10:11:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 237.462/238.111/238.923/0.646 ms
14/07/01-10:12:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 237.334/237.863/239.434/1.015 ms
14/07/01-10:14:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 216.675/216.698/216.731/0.510 ms
14/07/01-10:16:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 216.634/216.651/216.668/0.014 ms
14/07/01-10:17:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.651/216.747/216.913/0.308 ms
14/07/01-10:19:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.630/216.659/216.718/0.510 ms
