14/07/01-09:42:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 278.199/279.374/280.596/1.089 ms
14/07/01-09:44:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 278.093/278.723/279.342/0.619 ms
14/07/01-09:45:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 278.133/278.868/279.822/0.963 ms
14/07/01-09:47:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 278.144/278.667/279.472/0.822 ms
14/07/01-09:49:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 278.022/278.284/278.804/0.433 ms
14/07/01-09:50:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 278.165/278.867/280.052/0.750 ms
14/07/01-09:52:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 278.061/278.635/279.780/0.711 ms
14/07/01-09:54:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 278.017/278.461/279.402/0.838 ms
14/07/01-09:56:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 278.302/279.512/280.910/1.013 ms
14/07/01-09:57:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 277.992/278.577/279.729/0.802 ms
14/07/01-09:59:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 278.121/278.608/279.037/0.667 ms
14/07/01-10:01:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 278.025/278.140/278.388/0.491 ms
14/07/01-10:02:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 277.972/278.113/278.243/0.676 ms
14/07/01-10:04:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 278.105/278.556/279.820/0.733 ms
14/07/01-10:06:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 278.479/279.133/279.807/0.869 ms
14/07/01-10:07:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 278.284/279.182/279.759/0.845 ms
14/07/01-10:09:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 278.335/278.780/279.481/0.783 ms
14/07/01-10:11:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 278.155/278.900/279.907/0.694 ms
14/07/01-10:12:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 278.041/278.949/279.842/0.686 ms
14/07/01-10:14:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.977/251.002/251.046/0.317 ms
14/07/01-10:16:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.986/251.013/251.027/0.633 ms
14/07/01-10:17:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.993/251.005/251.015/0.317 ms
14/07/01-10:19:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.919/250.968/251.042/0.635 ms
14/07/01-10:21:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.954/250.993/251.118/0.552 ms
14/07/01-10:22:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.945/251.013/251.077/0.551 ms
14/07/01-10:24:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 251.051/251.099/251.152/0.449 ms
14/07/01-10:26:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 251.034/251.110/251.213/0.453 ms
14/07/01-10:27:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.970/251.037/251.112/0.551 ms
14/07/01-10:29:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.993/251.061/251.138/0.060 ms
14/07/01-10:31:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.937/250.947/250.961/0.633 ms
14/07/01-10:32:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.950/250.999/251.058/0.045 ms
14/07/01-10:34:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.955/250.985/251.034/0.549 ms
14/07/01-10:36:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 251.067/251.082/251.105/0.448 ms
14/07/01-10:37:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 251.024/251.085/251.248/0.082 ms
14/07/01-10:39:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 251.027/251.085/251.249/0.639 ms
14/07/01-10:41:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 251.060/251.088/251.149/0.634 ms
14/07/01-10:42:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.039/251.105/251.206/0.553 ms
14/07/01-10:44:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.020/251.395/252.760/0.752 ms
14/07/01-10:46:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 251.056/251.097/251.142/0.634 ms
14/07/01-10:47:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 251.018/251.046/251.078/0.317 ms
14/07/01-10:49:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.997/251.041/251.068/0.448 ms
14/07/01-10:51:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.984/250.996/251.006/0.316 ms
14/07/01-10:52:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.984/251.025/251.063/0.318 ms
14/07/01-10:54:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.994/251.020/251.066/0.448 ms
14/07/01-10:56:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.940/250.985/251.050/0.318 ms
14/07/01-10:57:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.949/250.963/250.971/0.448 ms
14/07/01-10:59:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 250.983/251.005/251.033/0.633 ms
14/07/01-11:01:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.940/250.986/251.044/0.634 ms
14/07/01-11:02:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.889/250.977/251.266/0.146 ms
14/07/01-11:04:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.903/250.924/250.954/0.448 ms
14/07/01-11:06:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.908/250.919/250.940/0.633 ms
14/07/01-11:07:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.902/250.947/250.987/0.634 ms
14/07/01-11:09:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.947/251.061/251.413/0.481 ms
14/07/01-11:11:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 250.894/250.907/250.915/0.548 ms
14/07/01-11:12:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.876/250.910/250.949/0.634 ms
14/07/01-11:14:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.970/251.005/251.037/0.634 ms
14/07/01-11:16:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.912/251.583/252.839/0.889 ms
14/07/01-11:17:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.911/250.930/250.959/0.549 ms
14/07/01-11:19:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.904/250.936/251.043/0.321 ms
14/07/01-11:21:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 250.909/251.088/251.618/0.266 ms
14/07/01-11:22:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.907/251.088/251.765/0.718 ms
14/07/01-11:24:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.901/250.953/251.066/0.060 ms
14/07/01-11:26:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.906/250.940/251.038/0.635 ms
14/07/01-11:27:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 250.918/250.940/250.981/0.317 ms
14/07/01-11:29:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.903/250.944/250.975/0.027 ms
14/07/01-11:31:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.867/251.013/251.422/0.493 ms
14/07/01-11:32:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.890/250.942/250.967/0.028 ms
14/07/01-11:34:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 250.904/250.948/251.046/0.050 ms
14/07/01-11:36:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.899/250.933/250.994/0.318 ms
14/07/01-11:38:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.988/251.017/251.058/0.448 ms
14/07/01-11:39:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.933/250.953/250.970/0.317 ms
14/07/01-11:41:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.935/250.971/251.046/0.634 ms
14/07/01-11:43:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.944/250.969/250.983/0.548 ms
14/07/01-11:44:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 250.906/250.919/250.938/0.317 ms
14/07/01-11:46:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.967/250.990/251.021/0.549 ms
14/07/01-11:48:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.933/250.940/250.950/0.548 ms
14/07/01-11:49:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 250.905/250.919/250.933/0.011 ms
14/07/01-11:51:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 250.973/250.996/251.023/0.549 ms
