14/07/01-09:41:13 - 5 packets transmitted, 5 received, 0% packet loss, time 6772ms rtt min/avg/max/mdev = 333.811/335.055/336.121/0.809 ms
14/07/01-09:42:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 333.563/333.805/334.233/0.689 ms
14/07/01-09:44:39 - 5 packets transmitted, 4 received, 20% packet loss, time 4005ms rtt min/avg/max/mdev = 332.148/333.756/334.975/1.137 ms
14/07/01-09:46:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 333.588/334.246/335.381/0.910 ms
14/07/01-09:48:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 333.236/333.581/334.338/0.666 ms
14/07/01-09:49:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 333.275/333.748/335.508/1.143 ms
14/07/01-09:51:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 333.246/333.659/335.053/0.942 ms
14/07/01-09:53:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 333.229/333.481/333.858/0.246 ms
14/07/01-09:54:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 333.254/334.192/335.668/0.999 ms
14/07/01-09:56:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 332.104/332.501/333.390/0.605 ms
14/07/01-09:58:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 332.065/332.612/333.393/0.877 ms
14/07/01-09:59:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 332.113/332.655/333.130/0.817 ms
14/07/01-10:01:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 332.170/332.647/333.679/0.842 ms
14/07/01-10:03:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 332.132/332.287/332.462/0.386 ms
14/07/01-10:04:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 332.560/333.035/333.569/0.330 ms
14/07/01-10:06:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 332.146/332.520/333.007/0.801 ms
14/07/01-10:08:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 332.369/332.954/333.699/0.488 ms
14/07/01-10:09:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 332.079/332.506/333.222/0.408 ms
14/07/01-10:11:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 333.399/334.223/335.997/1.108 ms
